military_term,civilian_equivalent,context,category,example_military,example_civilian,job_family
S-1,HR / Personnel Office,Unit staff section handling personnel actions and administrative processing.,administration,Worked with S-1 to process awards and PCS paperwork.,Partnered with HR to process personnel actions and documentation.,operations
S-2,Intelligence Office,Unit staff section responsible for threat analysis and intelligence reporting.,intelligence,Coordinated with S-2 for daily threat briefs.,Coordinated with intelligence staff for daily threat updates and briefings.,intelligence
S-3,Operations Office,"Unit staff section responsible for operations planning, scheduling, and execution tracking.",operations,Submitted training plan updates to S-3.,Provided operations team updates to support scheduling and execution tracking.,operations
S-4,Logistics Office,"Unit staff section responsible for supply, transportation, and sustainment planning.",logistics,Worked with S-4 to requisition parts.,Coordinated with logistics to requisition parts and track fulfillment.,logistics
S-6,IT / Communications Office,"Unit staff section responsible for communications, networks, and user support.",cyber,Coordinated with S-6 to troubleshoot network outages.,Worked with IT to troubleshoot outages and restore service.,cyber
BDE S1,Brigade HR Office,Brigade-level HR section handling personnel actions and policy execution.,administration,Sent the packet to BDE S1 for processing.,Submitted the packet to the brigade HR office for processing.,operations
BDE S4,Brigade Logistics Office,Brigade-level logistics section coordinating sustainment and supply chain support.,logistics,BDE S4 pushed the distribution plan.,Brigade logistics issued the distribution plan for execution.,logistics
COMSEC custodian,Communications Security Custodian,Role responsible for safeguarding encryption/keying material and compliance documentation.,cyber,Served as COMSEC custodian for the battalion.,Managed communications security materials and compliance for the organization.,cyber
IAO,Cybersecurity Compliance Lead,"Role responsible for information assurance controls, documentation, and audits.",cyber,Acted as the unit IAO during inspections.,Led cybersecurity compliance documentation and audit readiness for inspections.,cyber
G-6,Enterprise IT Directorate,Senior-level communications/IT directorate overseeing enterprise services.,cyber,Coordinated with G-6 for network approvals.,Coordinated with enterprise IT leadership for network approvals and governance.,cyber
J-6,Joint IT Directorate,Joint-level communications/IT directorate coordinating interoperability and enterprise services.,cyber,Reported status to J-6 during the exercise.,Provided status updates to joint IT leadership during the exercise.,cyber
BDE S2,Brigade-level intelligence office,Used for intelligence reporting/briefing support.,intelligence,Submitted reports to BDE S2,Submitted reports to the brigade intelligence office,intelligence
BDE S3,Brigade-level operations office,"Used for training schedules, ops planning, tasking.",operations,Synced training calendar with BDE S3,Aligned training schedule with the operations office,operations
BN S6,Battalion communications/IT office,Shorthand for unit IT/comms section.,cyber,Worked with BN S6 to restore SIPR,Partnered with the unit IT team to restore secure network services,cyber
S6 shop,Unit IT/communications team,Informal way people refer to the comms/IT section.,cyber,Submitted ticket to the S6 shop,Submitted a service request to the IT support team,cyber
G6,Senior-level communications/IT office (division/corps),Staff section responsible for communications and IT at higher headquarters.,cyber,Coordinated outage response with G6,Coordinated outage response with enterprise IT leadership,cyber
J6,Joint communications/IT office,Joint staff section responsible for communications and IT.,cyber,Coordinated requirements with J6,Coordinated requirements with joint IT leadership,cyber
cutter,operational ship / vessel,Coast Guard term for ships; shows up in bullets.,operations,Supported cutter maintenance availability,Supported vessel maintenance availability,operations
boat crew,small boat operations team,Coast Guard small boat ops term.,operations,Qualified as boat crew,Qualified as small boat operations team member,operations
boarding team,maritime law enforcement team,Common Coast Guard/ME term.,security,Led boarding team brief,Led law enforcement inspection team brief,operations
AtoN,Aids to Navigation,Coast Guard buoy/marker/navigation support mission.,operations,Supported AtoN mission planning,Supported navigation aids mission planning,operations
