id,gap_keyword,gap_category,recommendation_type,recommendation,related_certs,related_skills,free_resource_url,resource_name,estimated_time,estimated_cost,veteran_discount,veteran_discount_notes,created_at
,SAFe,certification,training,SAFe (Scaled Agile Framework) is increasingly required for defense PM roles. Your Agile and large-team experience is directly relevant. SAFe Agilist is the leadership-level cert.,"[""PMP"",""CSM"",""PMI-ACP""]","[""Agile"",""Lean"",""Program Management""]",https://www.scaledagile.com/training/,Scaled Agile,2-4 day course,"$995-1,895",True,Some SAFe training providers offer veteran pricing,
,Jira,tool,training,Free Jira training at Atlassian University. Similar concept to military task tracking systems. Free cloud version available for small teams to practice.,,"[""Project Tracking"",""Agile"",""Sprint Planning""]",https://university.atlassian.com,Atlassian University,4-8 hours,Free,False,,
,Kanban,methodology,add_skill,"Kanban uses visual boards to track work flow. If you used any task tracking board or status board, you have used Kanban concepts.",,"[""Visual Management"",""Workflow"",""WIP Limits""]",https://kanbanize.com/kanban-resources/getting-started/what-is-kanban,Kanbanize,1-2 hours,Free,False,,
,Splunk,tool,training,Free Splunk training and certification available. Free Splunk instance for practice. Your log analysis or security monitoring experience is directly relevant.,"[""Security+"",""CySA+""]","[""SIEM"",""Log Analysis"",""Security Monitoring""]",https://education.splunk.com,Splunk Education,20-40 hours,Free (Fundamentals),True,Splunk offers military/veteran training programs,
,CAPM,certification,quick_win,CAPM is the entry-level PM cert if you do not yet qualify for PMP. Only requires 23 hours of PM education.,"[""PMP""]","[""Project Management""]",https://www.pmi.org/certifications/certified-associate-capm,PMI CAPM,1-2 months study,$300 exam (PMI member),True,PMI offers military discount,
,CSP,certification,long_term,Certified Safety Professional requires 4-year degree + experience. Your military safety management experience counts toward the experience requirement.,"[""OSHA 30"",""ASP""]","[""Safety Management"",""Risk Assessment"",""Regulatory Compliance""]",https://www.bcsp.org/csp/,BCSP CSP,3-6 months study after ASP,$300 exam,False,,
,Wireshark,tool,training,"Free and open source network analyzer. If you did any network troubleshooting in the military, Wireshark is the civilian standard.","[""Network+"",""Security+""]","[""Network Analysis"",""Packet Capture"",""Troubleshooting""]",https://www.wireshark.org/#learnWS,Wireshark Wiki,10-20 hours,Free,False,,
,SharePoint,tool,training,"Microsoft collaboration platform. Free training on Microsoft Learn. If you used any military knowledge management portal, SharePoint is similar.",,"[""Document Management"",""Collaboration"",""Intranet""]",https://learn.microsoft.com,Microsoft Learn,4-8 hours,Free,False,,
,HBSS,tool,equivalent,HBSS (Host Based Security System) is the military endpoint security platform. Civilian equivalent is McAfee/Trellix ePO. Your HBSS experience translates directly.,"[""Security+""]","[""Endpoint Security"",""Host Intrusion Prevention"",""Policy Management""]",,,,,False,,
,SQL,tool,training,"Database query language used everywhere. Free courses available. If you managed any database or tracking system, SQL is the foundation.",,"[""Database"",""Data Analysis"",""Reporting""]",https://www.freecodecamp.org/learn/relational-database/,freeCodeCamp,20-40 hours,Free,False,,
,CSM,certification,quick_win,Certified ScrumMaster is a 2-day course. Your military experience with iterative planning and team leadership maps directly to Scrum.,"[""PMP"",""PMI-ACP"",""SAFe Agilist""]","[""Agile"",""Scrum"",""Sprint Planning""]",https://www.scrumalliance.org/get-certified/scrum-master-track/certified-scrummaster,Scrum Alliance CSM,2 days + exam,"$1,000-1,500 (includes course)",False,,
,ITIL,certification,quick_win,ITIL 4 Foundation covers IT service management. Your military operations and maintenance management experience maps directly to ITIL concepts.,"[""CompTIA A+"",""PMP""]","[""IT Service Management"",""Incident Management"",""Change Management""]",https://www.axelos.com/certifications/itil-service-management,AXELOS ITIL,2-4 weeks study,$395 exam,False,,
,CASP+,certification,equivalent,Your Security+ and CySA+ combined with years of experience cover CASP+ domains. Consider pursuing if targeting senior security architect roles.,"[""Security+"",""CySA+"",""CISSP""]","[""Security Architecture"",""Risk Management"",""Enterprise Security""]",https://www.comptia.org/certifications/comptia-advanced-security-practitioner,CompTIA CASP+,2-4 months study,$494 exam,True,CompTIA offers military spouse and veteran pricing,
,ServiceNow,tool,training,Enterprise IT service management platform. Free training and simulator available. Your military ticketing/maintenance tracking experience is relevant.,,"[""ITSM"",""Ticketing"",""Workflow Management"",""ITIL""]",https://nowlearning.servicenow.com,ServiceNow Now Learning,20-40 hours,Free,True,ServiceNow has a veteran hiring program and free training,
,Negotiation,soft_skill,add_skill,"If you coordinated resources between departments, managed vendor relationships, or resolved conflicts, you have negotiation experience. Military resource competition requires constant negotiation.",,"[""Conflict Resolution"",""Resource Management"",""Stakeholder Management""]",,,,,False,,
,Public speaking,soft_skill,add_skill,"If you briefed leadership, conducted training, or led meetings, you have public speaking experience. Military briefing experience is often more rigorous than civilian presentation skills.",,"[""Presentations"",""Briefing"",""Communication""]",,,,,False,,
,NIST RMF,methodology,equivalent,"If you worked in military cybersecurity (DIACAP, ACAS, STIGs, eMASS), you have worked with RMF concepts. Military uses RMF. Just make sure to use the term ""NIST Risk Management Framework"" on your resume.","[""Security+"",""CISSP"",""CISM""]","[""Risk Management"",""Security Assessment"",""ATO"",""Compliance""]",,,,,False,,
,AWS Certified,certification,training,Start with AWS Cloud Practitioner (foundational) or Solutions Architect Associate. Your infrastructure experience translates well to cloud.,"[""CompTIA Cloud+"",""Azure certifications""]","[""Cloud Computing"",""Infrastructure"",""Networking""]",https://aws.amazon.com/training/,AWS Training,CCP: 1-2 months / SAA: 2-4 months,CCP: $100 / SAA: $150 exam,True,AWS offers free re/Start program for military and veterans,
,CISSP,certification,equivalent,"Your Security+, CySA+, or CASP+ demonstrate similar cybersecurity competency. Highlight these as equivalent experience in your cover letter. CISSP requires 5 years experience — your military service counts.","[""Security+"",""CySA+"",""CASP+"",""PenTest+"",""CISM""]","[""Information Security"",""Risk Management"",""Security Architecture""]",https://www.isc2.org/certifications/cissp,ISC2 CISSP,3-6 months study,$749 exam,True,ISC2 offers military/veteran discounts and workforce programs,
,SAP,tool,training,Enterprise resource planning system. Free learning hub available. Your military logistics/supply chain experience maps to SAP modules.,,"[""ERP"",""Supply Chain"",""Finance"",""Procurement""]",https://learning.sap.com,SAP Learning,20-40 hours,Free (some courses),False,,
,CMMS experience,skill,equivalent,"If you used 3M/OMMS-NG (Navy), GCSS-Army, or NALCOMIS (aviation), you used a CMMS. These are equivalent to civilian systems like Maximo, SAP PM, or Fiix. Say ""CMMS"" on your resume.",,"[""Preventive Maintenance"",""Work Order Management"",""Asset Tracking""]",,,,,False,,
,FEMA ICS,skill,equivalent,"If you participated in military emergency response, you operated under Incident Command System principles. ICS-100, 200, 700, and 800 are free online and validate what you already know.",,"[""Emergency Management"",""Incident Command"",""Disaster Response""]",https://training.fema.gov/is/,FEMA EMI,4-8 hours per course,Free,False,,
,Executive presence,soft_skill,add_skill,"If you briefed flag/general officers or senior executives, you have executive presence. Military bearing and communication discipline translate directly to boardroom presence.",,"[""Leadership"",""Communication"",""Briefing""]",,,,,False,,
,Tableau,tool,training,Data visualization platform. Free Tableau Public version and extensive free training. Your briefing and data presentation experience is relevant.,,"[""Data Visualization"",""Business Intelligence"",""Analytics""]",https://www.tableau.com/learn,Tableau Learning,10-20 hours,Free (Public version),False,,
,Linux,tool,training,"Free and open source OS. Foundation for cybersecurity, cloud, and DevOps roles. If you used any military Unix systems, Linux is similar.","[""CompTIA Linux+"",""RHCSA""]","[""System Administration"",""Command Line"",""Shell Scripting""]",https://www.freecodecamp.org/news/linux-command-line-tutorial/,freeCodeCamp,20-40 hours,Free,False,,
,CCNP,certification,long_term,CCNP builds on CCNA. Your enterprise network experience from military service is a strong foundation. Requires CCNA or equivalent experience.,"[""CCNA"",""CompTIA Network+""]","[""Advanced Routing"",""Network Architecture"",""Network Security""]",https://www.cisco.com/site/us/en/learn/training-certifications/certifications/professional/ccnp-enterprise/index.html,Cisco CCNP,4-8 months study,$330 per exam (2 exams),True,Cisco NetAcad offers military programs,
,Data Analysis,skill,add_skill,"If you tracked readiness metrics, maintenance data, personnel statistics, or budget reports, you performed data analysis. Add this skill and learn Excel/Power BI to formalize it.",,"[""Reporting"",""Metrics"",""Analytics"",""Excel""]",,,,,False,,
,ERP experience,skill,equivalent,"If you used military supply/logistics systems (Navy ERP, GCSS-Army, DLA systems), you used ERP platforms. Say ""ERP"" on your resume — it is the same concept.",,"[""Supply Chain"",""Logistics"",""Procurement"",""Inventory Management""]",,,,,False,,
,Root Cause Analysis,skill,add_skill,"If you conducted AARs, mishap investigations, or equipment failure analysis, you performed root cause analysis. Add this to your skills — it is highly valued.","[""Lean Six Sigma""]","[""Problem Solving"",""Investigation"",""Process Improvement""]",,,,,False,,
,Workday,tool,training,"HR and finance cloud platform. If you managed personnel or payroll systems in the military, concepts are similar.",,"[""HRIS"",""Payroll"",""Human Resources""]",https://community.workday.com,Workday Community,10-20 hours,Varies,False,,
,Agile,methodology,add_skill,"Your military experience with iterative mission planning, AARs, and adapting to changing conditions IS Agile in practice. Add ""Agile Methodology"" to your skills. Consider CSM cert for formal validation.","[""PMP"",""CSM"",""SAFe""]","[""Sprint Planning"",""Scrum"",""Iterative Development""]",,,,,False,,
,Smartsheet,tool,training,"Spreadsheet-based project management. If you are comfortable with Excel, Smartsheet is an easy transition.",,"[""Project Management"",""Spreadsheets"",""Reporting""]",https://www.smartsheet.com/learning-center,Smartsheet Learning,2-4 hours,Free training,False,,
,HAZWOPER,certification,equivalent,"If you handled HAZMAT in the military (DC, CBRN, environmental), you likely have equivalent training. May need 8-hour refresher for civilian certification.",,"[""HAZMAT"",""Emergency Response"",""Decontamination""]",,,8-hour refresher,$150-200,False,,
,Change Management,skill,add_skill,"If you led organizational transitions, implemented new processes, or managed personnel through deployments/restructures, you practiced change management. Add it.","[""PMP""]","[""Organizational Development"",""Process Implementation"",""Communication""]",,,,,False,,
,OSHA 30,certification,quick_win,OSHA 30-hour course is available online. Your military safety experience exceeds most civilian safety training.,"[""OSHA 10""]","[""Safety Management"",""OSHA Compliance"",""Hazard Identification""]",https://www.osha.com/courses/30-hour-general-industry,OSHA Education Center,30 hours (self-paced),$189,False,,
,Bachelor's degree,education,long_term,"Many employers accept equivalent experience in lieu of a degree. Your {{years}} years of military experience + certifications often equals or exceeds a bachelor's. Some employers accept CLEP credits. Check if the JD says ""or equivalent experience.""",,,https://clep.collegeboard.org,CLEP Exams,Varies,$90 per exam (free for military),True,CLEP exams are free for active duty military through DANTES,
,CompTIA A+,certification,quick_win,"Entry-level IT cert. If you have any hands-on IT experience from the military, A+ is achievable in 4-6 weeks of study.",,"[""Hardware"",""Troubleshooting"",""Operating Systems"",""Help Desk""]",https://www.comptia.org/certifications/a,CompTIA A+,4-8 weeks study,$358 per exam (2 exams),True,CompTIA offers military/veteran pricing at 50% discount,
,MS Project,tool,training,"Free tutorials on Microsoft Learn. If you managed schedules or Gantt charts in the military, MS Project will feel familiar.",,"[""Project Scheduling"",""Gantt Charts"",""Resource Management""]",https://learn.microsoft.com,Microsoft Learn,4-8 hours,Free training / $30/mo for tool,False,,
,Monday.com,tool,training,Free version available. Intuitive project management platform. Very learnable in a few hours.,,"[""Project Management"",""Task Tracking"",""Workflow Automation""]",https://monday.com/blog/project-management/getting-started/,Monday.com Resources,2-4 hours,Free,False,,
,GIAC certifications,certification,long_term,"GIAC certs (GSEC, GCIH, GCIA, etc.) are gold standard in cybersecurity. Your military cyber experience is relevant foundation. SANS courses are expensive but top quality.","[""Security+"",""CySA+"",""PenTest+""]","[""Incident Response"",""Network Defense"",""Forensics""]",https://www.giac.org/certifications/,GIAC/SANS,1-3 months per cert,"$2,499+ per course",True,SANS offers military discount and VET TEC programs through SANS.edu,
,CompTIA Network+,certification,quick_win,"If you worked with any military communication or network systems, you already know most of this material. Strong foundation cert.","[""CompTIA A+""]","[""Networking"",""TCP/IP"",""Troubleshooting""]",https://www.comptia.org/certifications/network,CompTIA Network+,4-8 weeks study,$358 exam,True,CompTIA offers military/veteran pricing at 50% discount,
