id,gap_keyword,gap_category,recommendation_type,recommendation,related_certs,related_skills,free_resource_url,resource_name,estimated_time,estimated_cost,veteran_discount,veteran_discount_notes,created_at
01682b6a-e87b-447d-a2d4-26cfc9f827a2,SAFe,certification,training,SAFe (Scaled Agile Framework) is increasingly required for defense PM roles. Your Agile and large-team experience is directly relevant. SAFe Agilist is the leadership-level cert.,"[""PMP"",""CSM"",""PMI-ACP""]","[""Agile"",""Lean"",""Program Management""]",https://www.scaledagile.com/training/,Scaled Agile,2-4 day course,"$995-1,895",true,Some SAFe training providers offer veteran pricing,2026-02-15 17:49:11.511332+00
01a473bb-0302-49fd-bc44-9a411746265d,Jira,tool,training,Free Jira training at Atlassian University. Similar concept to military task tracking systems. Free cloud version available for small teams to practice.,,"[""Project Tracking"",""Agile"",""Sprint Planning""]",https://university.atlassian.com,Atlassian University,4-8 hours,Free,false,,2026-02-15 17:49:11.511332+00
0389fe74-7242-4c8f-8b4f-632deb95db20,Kanban,methodology,add_skill,"Kanban uses visual boards to track work flow. If you used any task tracking board or status board, you have used Kanban concepts.",,"[""Visual Management"",""Workflow"",""WIP Limits""]",https://kanbanize.com/kanban-resources/getting-started/what-is-kanban,Kanbanize,1-2 hours,Free,false,,2026-02-15 17:49:11.511332+00
0607fb0e-eb9f-4c6c-b78a-e6e34062bc6e,Splunk,tool,training,Free Splunk training and certification available. Free Splunk instance for practice. Your log analysis or security monitoring experience is directly relevant.,"[""Security+"",""CySA+""]","[""SIEM"",""Log Analysis"",""Security Monitoring""]",https://education.splunk.com,Splunk Education,20-40 hours,Free (Fundamentals),true,Splunk offers military/veteran training programs,2026-02-15 17:49:11.511332+00
0a13d5cb-19fa-4463-b188-3c6df6cc6796,CAPM,certification,quick_win,CAPM is the entry-level PM cert if you do not yet qualify for PMP. Only requires 23 hours of PM education.,"[""PMP""]","[""Project Management""]",https://www.pmi.org/certifications/certified-associate-capm,PMI CAPM,1-2 months study,$300 exam (PMI member),true,PMI offers military discount,2026-02-15 17:49:11.511332+00
1111e0b1-847c-4d4d-89b4-1a9b5971a2cd,CSP,certification,long_term,Certified Safety Professional requires 4-year degree + experience. Your military safety management experience counts toward the experience requirement.,"[""OSHA 30"",""ASP""]","[""Safety Management"",""Risk Assessment"",""Regulatory Compliance""]",https://www.bcsp.org/csp/,BCSP CSP,3-6 months study after ASP,$300 exam,false,,2026-02-15 17:49:11.511332+00
153b531d-d8d5-453a-874a-024d529e19fc,Wireshark,tool,training,"Free and open source network analyzer. If you did any network troubleshooting in the military, Wireshark is the civilian standard.","[""Network+"",""Security+""]","[""Network Analysis"",""Packet Capture"",""Troubleshooting""]",https://www.wireshark.org/#learnWS,Wireshark Wiki,10-20 hours,Free,false,,2026-02-15 17:49:11.511332+00
1a8ec752-dc82-40cc-8e9e-ec93ab40e041,SharePoint,tool,training,"Microsoft collaboration platform. Free training on Microsoft Learn. If you used any military knowledge management portal, SharePoint is similar.",,"[""Document Management"",""Collaboration"",""Intranet""]",https://learn.microsoft.com,Microsoft Learn,4-8 hours,Free,false,,2026-02-15 17:49:11.511332+00
1b489294-49a4-4aae-b8b6-88c7988eda4e,HBSS,tool,equivalent,HBSS (Host Based Security System) is the military endpoint security platform. Civilian equivalent is McAfee/Trellix ePO. Your HBSS experience translates directly.,"[""Security+""]","[""Endpoint Security"",""Host Intrusion Prevention"",""Policy Management""]",,,,,false,,2026-02-15 17:49:11.511332+00
1eb2f844-4321-4942-8e81-f45008b494b4,SQL,tool,training,"Database query language used everywhere. Free courses available. If you managed any database or tracking system, SQL is the foundation.",,"[""Database"",""Data Analysis"",""Reporting""]",https://www.freecodecamp.org/learn/relational-database/,freeCodeCamp,20-40 hours,Free,false,,2026-02-15 17:49:11.511332+00
