id,industry,role_type,keywords,weight,created_at
00797324-e7ed-42f4-bf3c-db0faa792a68,Healthcare,Registered Nurse,"[""Patient Care"",""Triage"",""EMR"",""Epic"",""Vital Signs"",""IV Therapy"",""Medication Administration"",""Patient Assessment"",""Care Planning"",""HIPAA"",""BLS"",""ACLS"",""Patient Education"",""Clinical Documentation"",""Infection Control""]",critical,2026-02-18 14:03:12.64537+00
00abeb5b-18e2-46e9-a059-eb3fb50b6c10,Manufacturing,EHS Manager,"[""Environmental Health Safety"",""OSHA"",""EPA"",""Risk Assessment"",""Incident Investigation"",""Safety Training"",""Compliance"",""Audit"",""Emergency Response"",""Industrial Hygiene"",""Workers Compensation"",""Behavior-Based Safety"",""Sustainability"",""ISO 14001"",""Hazardous Materials""]",important,2026-02-18 14:03:12.64537+00
01c58bf3-afd8-4637-859c-99d474686641,Consulting,IT Consultant,"[""IT Strategy"",""Digital Transformation"",""Systems Integration"",""Enterprise Architecture"",""Cloud Migration""]",critical,2026-02-16 22:56:43.218561+00
0207047c-3142-4d4b-8c8a-77e076ab49df,Non-Profit,Program Manager (Non-Profit),"[""Staff Supervision"",""Volunteer Management"",""Community Partnerships"",""Capacity Building""]",medium,2026-02-16 22:56:51.40283+00
02214608-8cb6-445e-aeb9-02ceb4b08765,Technology,Solutions Architect,"[""Architecture"",""Cloud"",""AWS"",""Azure"",""GCP"",""Microservices"",""API"",""Integration"",""Scalability"",""High Availability"",""Load Balancing"",""CDN"",""Security"",""DevOps"",""Documentation""]",critical,2026-02-18 14:03:12.64537+00
0244a2ce-05f6-4386-be9d-58894caf9a0e,Non-Profit,Program Manager (Non-Profit),"[""Strategic Planning"",""Board Relations"",""Advocacy"",""Policy Development""]",low,2026-02-16 22:56:51.40283+00
02c0e7ae-b089-4839-a088-5be12ac63e6e,Marketing/Communications,SEO Specialist,"[""Content Optimization"",""Site Architecture"",""Page Speed"",""Mobile Optimization"",""Core Web Vitals""]",medium,2026-02-16 22:56:43.218561+00
0340cd13-b2b5-4e67-80b4-8180745f7790,Consulting,Strategy Consultant,"[""Executive Communication"",""Board Presentations"",""Stakeholder Alignment"",""Implementation Planning""]",medium,2026-02-16 22:56:43.218561+00
042682a3-a81b-40ce-be3e-c2a6cc43c2b8,Technology,IT Support,"[""Office 365"",""Azure AD"",""VPN"",""Remote Desktop"",""Ticketing Systems"",""Imaging"",""Deployment""]",high,2026-02-16 22:56:43.218561+00
04dbd7e5-b37f-4b5e-83f0-da27e77b93c3,Energy,Solar Installer,"[""Solar Installation"",""Photovoltaic"",""Racking"",""Inverter"",""Wiring"",""NEC"",""Permitting"",""Roof Mount"",""Ground Mount"",""Battery Storage"",""Net Metering"",""OSHA"",""Safety"",""Blueprint Reading"",""Commissioning""]",critical,2026-02-18 14:03:12.64537+00
05e4fe93-8f04-4bd7-9b89-d713b68867cf,Government/Federal,Contract Specialist,"[""Small Business Programs"",""Past Performance Evaluation"",""Market Research"",""Sole Source""]",medium,2026-02-16 22:56:43.218561+00
05fd4677-1d46-4108-88c8-789c49c018db,Finance/Banking,Accountant,"[""GAAP"",""Financial Reporting"",""General Ledger"",""Accounts Payable"",""Accounts Receivable"",""Journal Entries"",""Reconciliation""]",critical,2026-02-16 22:56:43.218561+00
0673e88e-495c-4eed-837c-b2f7344a2da6,Energy/Utilities,Nuclear Engineer,"[""Quality Assurance"",""Configuration Management"",""10 CFR"",""Technical Specifications""]",medium,2026-02-16 22:56:43.218561+00
068bff18-0d8b-41fe-99dc-c825d94616e9,Nonprofit,Case Manager,"[""Case Management"",""Client Assessment"",""Service Planning"",""Referrals"",""Documentation"",""Crisis Intervention"",""Advocacy"",""Follow-up"",""Community Resources"",""Collaboration"",""HIPAA"",""Cultural Competency"",""Goal Setting"",""Outcomes"",""Caseload""]",critical,2026-02-18 14:03:12.64537+00
06b15de7-453c-4d67-bf6c-d0f6dd0793e1,Retail/Hospitality,Store Manager,"[""KPIs"",""Conversion Rate"",""Average Transaction"",""Customer Retention"",""Loyalty Programs""]",medium,2026-02-16 22:56:51.40283+00
06eb31d4-b39e-4c14-8c7e-4942382c0d2d,Healthcare,Physician Assistant,"[""Clinical Research"",""Quality Metrics"",""Peer Review"",""Continuing Medical Education""]",low,2026-02-16 22:56:43.218561+00
07bd2d85-c039-4495-8a36-5d2f2aefd21f,Defense,Configuration Manager,"[""Configuration Management"",""CM Plan"",""Baseline"",""Change Control"",""ECR"",""ECP"",""Documentation"",""Audit"",""Status Accounting"",""Version Control"",""CMII"",""MIL-STD"",""Technical Data"",""Drawing Control"",""Release Management""]",critical,2026-02-18 14:03:12.64537+00
07d310d8-8e17-47ea-bb8d-a99fdc0786f4,Technology,Technical Writer,"[""Video Tutorials"",""Knowledge Base"",""Release Notes"",""Training Materials""]",critical,2026-02-16 22:56:43.218561+00
07f321e0-31e1-47f5-838f-58cf7a4c5793,Energy/Utilities,Power Plant Operator,"[""Lockout/Tagout"",""Safety"",""Emergency Procedures"",""Environmental Compliance""]",medium,2026-02-16 22:56:43.218561+00
08862d19-b203-496b-a483-d3699c36aa75,Finance/Banking,Accountant,"[""Tax Preparation"",""Payroll"",""Fixed Assets"",""Depreciation"",""Accruals"",""Intercompany""]",medium,2026-02-16 22:56:43.218561+00
08f1caae-fae7-4af8-81b9-d49ff7deb032,Logistics,Warehouse Manager,"[""Warehouse Management"",""WMS"",""Inventory Control"",""Receiving"",""Shipping"",""Pick and Pack"",""OSHA"",""Forklift"",""RF Scanning"",""Cycle Counting"",""Labor Management"",""SOP"",""Quality Control"",""Safety"",""5S""]",critical,2026-02-18 14:03:12.64537+00
0952d4d2-b16d-4355-bca7-576c81445e27,Finance/Banking,Insurance Underwriter,"[""Commercial Lines"",""Personal Lines"",""Reinsurance"",""Claims Analysis"",""Coverage Determination""]",high,2026-02-16 22:56:43.218561+00
09b39cfa-c23a-405d-aeda-84c24395aa75,Technology,Site Reliability Engineer,"[""Chaos Engineering"",""Load Testing"",""Capacity Planning"",""Automation"",""Python"",""Go""]",medium,2026-02-16 22:56:51.40283+00
0bec221b-fe67-4996-b52a-50d7c5a9d33c,Retail/Hospitality,Restaurant Manager,"[""Food Service Operations"",""Health Code Compliance"",""Staff Scheduling"",""Inventory Control"",""Cost Control""]",critical,2026-02-16 22:56:51.40283+00
0c2dc74a-4197-4119-ae2f-3aecd53ba668,Manufacturing,Quality Engineer,"[""Inspection"",""CMM"",""Metrology"",""First Article"",""PPAP"",""APQP"",""Control Plans""]",high,2026-02-16 22:56:43.218561+00
0c6199da-0029-4ea3-b9b6-38ed4d9d1a27,Manufacturing,Plant Manager,"[""Strategic Planning"",""KPI Management"",""Continuous Improvement"",""Environmental Compliance""]",medium,2026-02-16 22:56:43.218561+00
0c7ced44-f20b-47b5-a2a8-e7d2b019dedd,Technology,QA Engineer,"[""Quality Metrics"",""Process Improvement"",""Root Cause Analysis"",""UAT Coordination""]",low,2026-02-16 22:56:43.218561+00
0e4c5364-6f16-47b6-b8d3-fde69e6bffbd,Defense/Aerospace,Weapons Systems Specialist,"[""Configuration Management"",""Reliability Analysis"",""FMECA"",""Hazard Analysis""]",medium,2026-02-16 22:56:43.218561+00
