military_term,civilian_equivalent,context,category,example_military,example_civilian
reorder point,minimum stock trigger / replenishment threshold,logistics,logistics,,
MASINT,measurement and signatures intelligence / technical data collection,intelligence,intelligence,,
COLA,cost of living allowance / location-based pay supplement,financial,financial,,
GPC,government purchase card / corporate credit card,logistics,acquisition,,
fragmentary order,change order / updated directive,general,term,,
labor hour,hourly billing arrangement,logistics,acquisition,,
J&A,justification and approval / sole-source rationale document,logistics,acquisition,,
backstop,verification support for cover identity,intelligence,intelligence,,
option year,contract renewal period,logistics,acquisition,,
gripe,maintenance discrepancy / deficiency report,aviation,aviation,,
squared away,organized / well-prepared / professional,general,term,,
legend,cover story / assumed identity background,intelligence,intelligence,,
hand receipt,property accountability document,logistics,logistics,,
voucher,payment authorization / reimbursement document,financial,financial,,
PPBE,"planning, programming, budgeting, and execution / budget lifecycle process",financial,financial,,
PWS,performance work statement / deliverables specification,logistics,acquisition,,
discharge review,employment separation appeal,legal,legal,,
NMC,not mission capable / non-operational / down for maintenance,aviation,aviation,,
EP,Top Performer / Early Promote,navy,evaluation,,
dental readiness,dental fitness status / oral health compliance,medical,medical,,
page 2,emergency contact and dependency record,personnel,personnel,,
combat medic,emergency medical technician / field paramedic,medical,medical,,
FOC,full operating capability / fully operational status,cyber,cyber,,
administrative remarks,official personnel notes / employee file entries,personnel,personnel,,
assigned strength,current headcount / actual staffing,personnel,personnel,,
MISO,military information support operations / strategic messaging,general,special operations,,
deployment health,occupational health screening / fitness-for-duty assessment,medical,medical,,
detailing,assignment management / personnel placement,personnel,personnel,,
UW,unconventional warfare / irregular warfare,general,special operations,,
dead drop,concealed exchange point,intelligence,intelligence,,
open source,publicly available information,intelligence,intelligence,,
Role 1,first responder care / point-of-injury treatment,medical,medical,,
vulnerability assessment,security testing / penetration testing,cyber,cyber,,
fund cite,budget account number / appropriation reference,financial,financial,,
medic,emergency medical technician / field healthcare provider,medical,medical,,
obstacle construction,barrier installation,engineering,engineering,,
cost center,budget unit / organizational spending account,financial,financial,,
NAVFAC,Naval Facilities Engineering Systems Command / Navy construction agency,engineering,engineering,,
FOIA,Freedom of Information Act request / public records request,legal,legal,,
bandwidth,capacity / available resources,general,term,,
compartmented,restricted access / segmented information,intelligence,intelligence,,
TEMPEST,emissions security / electronic emanations protection,intelligence,intelligence,,
case officer,operations manager / field coordinator,intelligence,intelligence,,
claims,damage or injury compensation requests,legal,legal,,
good to go,ready / approved / cleared to proceed,general,term,,
surplus,excess property / items beyond requirements,logistics,logistics,,
ATO,authority to operate / security certification to deploy,cyber,cyber,,
TACP,tactical air control party / close air support coordinator,general,special operations,,
theater hospital,forward surgical hospital / field hospital,medical,medical,,
hot refuel,refueling with engines running,aviation,aviation,,
hazmat,hazardous materials / dangerous goods,safety,engineering,,
HVAC,"heating, ventilation, and air conditioning",engineering,engineering,,
bench stock,consumable supplies / expendable items on hand,logistics,logistics,,
hangar queen,chronically non-operational equipment,aviation,aviation,,
SAP,special access program / restricted-access initiative,intelligence,intelligence,,
NSW,Naval Special Warfare / Navy special operations,general,special operations,,
summary court martial,minor judicial proceeding / abbreviated military trial,legal,legal,,
source handling,confidential informant management,intelligence,intelligence,,
BOS,base operating support / facility operations,engineering,engineering,,
cat shot,catapult launch / assisted takeoff,aviation,aviation,,
COTR,contracting officer technical representative / contract monitor,logistics,acquisition,,
ESR,enlisted service record / employment history file,personnel,personnel,,
custody,possession and accountability,logistics,logistics,,
left seat/right seat,job shadowing / transition ride-along,general,term,,
fill rate,staffing percentage / position occupancy rate,personnel,personnel,,
CASEVAC,casualty evacuation / emergency patient transport,medical,medical,,
CAGE code,commercial and government entity code / vendor identification number,logistics,logistics,,
FAR,Federal Acquisition Regulation / government procurement rules,logistics,acquisition,,
civil affairs,community engagement / civil-military liaison,general,special operations,,
precept,board guidance letter / selection criteria directive,personnel,personnel,,
near miss,close call / near-accident incident,safety,safety,,
SOC,security operations center / cybersecurity monitoring center,cyber,cyber,,
page 4,service history and qualifications record,personnel,personnel,,
