id,military_context,civilian_skill,civilian_description,resume_phrase,created_at
22f1179a-b484-4f88-899a-17de4b9fd828,Standing watch for hours,Reliability,Consistently dependable and accountable for assigned responsibilities,Highly reliable professional with proven accountability record,2026-02-15 17:47:32.616746+00
234f2890-73b0-4723-80e7-5873fbf1cfa5,Mentoring junior personnel,Talent Development,Develops and grows team members capabilities,"Develops high-performing teams through coaching, mentoring, and targeted training",2026-02-15 17:47:32.616746+00
32839ba1-ff8d-4467-bea2-e572c6b10fbd,Briefing senior leadership,Executive Communication,Communicates clearly and concisely to senior leadership,"Delivers clear, concise briefings to C-suite and executive-level stakeholders",2026-02-15 17:47:32.616746+00
3331beb6-efe6-423e-948c-f25cf751bc09,Attention to detail in life-or-death situations,Precision and Quality,Applies meticulous attention to detail in all work products,Applies rigorous quality standards and meticulous attention to detail,2026-02-15 17:47:32.616746+00
3dcf718b-ad91-4286-afe9-30f0209e52fb,Joint operations with other services,Cross-Functional Collaboration,Works effectively across different departments and organizations,Collaborates effectively across organizational boundaries to achieve shared objectives,2026-02-15 17:47:32.616746+00
3e229a75-623b-455a-8c9b-69381d89df21,Qualifying on multiple systems,Fast Learner,Rapidly acquires new skills and qualifications,Rapidly acquires new technical skills and professional certifications,2026-02-15 17:47:32.616746+00
47d83898-2bc2-4873-89a5-9c5e98685fc8,Making decisions with incomplete info,Decisive Judgment,Makes sound decisions quickly with limited information,Exercises sound judgment and decisive action in ambiguous situations,2026-02-15 17:47:32.616746+00
52d133f6-2e18-488c-86ec-dbeda095276a,Accountability at all levels,Ownership Mentality,Takes full ownership of responsibilities and outcomes,Demonstrates full ownership of deliverables and accountability for outcomes,2026-02-15 17:47:32.616746+00
6c14d4b3-fcb0-48c9-90a1-bc49b7830b12,Living by military values,Integrity,Operates with honesty and strong ethical standards,Demonstrates uncompromising integrity and ethical standards,2026-02-15 17:47:32.616746+00
74010edc-9b5b-47f3-8d3a-97065022cbde,Planning operations,Strategic Thinking,"Plans ahead, anticipates challenges, and develops contingencies",Develops comprehensive plans with risk mitigation and contingency strategies,2026-02-15 17:47:32.616746+00
7ab555b7-6b7c-4cf4-9007-53ba89cb71ef,Adapting to deployments and PCS moves,Adaptability,Thrives in changing environments and adjusts quickly to new challenges,"Demonstrates exceptional adaptability in dynamic, fast-changing environments",2026-02-15 17:47:32.616746+00
8376a211-c184-45d8-bd7b-d3b1611c8a41,Working with diverse teams globally,Cross-Cultural Communication,Effective communicator across diverse teams and cultures,"Communicates effectively across diverse teams, cultures, and organizational levels",2026-02-15 17:47:32.616746+00
a1248302-b29a-4f96-be2a-94c4a952ffbf,Mission accomplishment mindset,Results Orientation,Relentlessly focused on achieving objectives and delivering outcomes,Consistently delivers measurable results against aggressive timelines,2026-02-15 17:47:32.616746+00
a26961da-e3d1-4bdf-be3b-22c9bbf5a422,Never leaving someone behind,Team Commitment,Deeply committed to team success and supporting colleagues,Demonstrates unwavering commitment to team objectives and colleague support,2026-02-15 17:47:32.616746+00
c1a3d4f7-d82a-44ec-a2e7-91e2d5a4e908,Planning and executing liberty/leave,Work-Life Balance Advocate,Values team wellbeing while maintaining operational effectiveness,Balances operational demands with team wellbeing to sustain long-term performance,2026-02-15 17:47:32.616746+00
c1f10721-488b-4c80-898e-84d8ddc7e4e7,PT/physical readiness,Discipline,Self-motivated with strong personal discipline and work ethic,Maintains exceptional personal discipline and consistent work ethic,2026-02-15 17:47:32.616746+00
c21229f0-901c-4db1-a518-889b2dc26f40,Maintaining equipment in austere conditions,Resourcefulness,Finds creative solutions with limited resources,Delivers innovative solutions using available resources in constrained environments,2026-02-15 17:47:32.616746+00
c3ebf324-4d94-4cd6-8d38-4aacb4c49a3c,Following orders and chain of command,Organizational Alignment,Works effectively within organizational hierarchy and follows established processes,Operates effectively within organizational structures and established processes,2026-02-15 17:47:32.616746+00
c7ceccff-0402-4ebc-993c-4fa0b2d0402d,Following and enforcing regulations,Compliance Orientation,"Ensures adherence to policies, regulations, and standards",Ensures organizational compliance with regulatory requirements and industry standards,2026-02-15 17:47:32.616746+00
d2428f11-b34e-4bfa-940c-2af311f1a416,After action reviews,Continuous Improvement,Actively learns from experience and improves processes,Champions continuous improvement through structured post-project analysis,2026-02-15 17:47:32.616746+00
eb0adda5-782f-4981-83b0-17fd2e36e42f,Damage control / firefighting,Crisis Management,Remains calm and effective during emergencies,Maintains composure and leads effectively during high-stakes crisis situations,2026-02-15 17:47:32.616746+00
eb2bfbef-934d-41d7-aaf8-0927ad8e6dc5,Working under fire/high stress,Pressure Management,Delivers consistent results under extreme pressure and tight deadlines,Maintains peak performance under high-pressure conditions with competing priorities,2026-02-15 17:47:32.616746+00
