branch,military_code,military_title,civilian_titles,onet_codes,industries,key_skills,description
Army,35A,Military Intelligence Officer,Intelligence Officer; Intelligence Manager; Threat Intelligence Lead; Security Analyst (Intelligence),,,Intelligence Analysis; Threat Assessment; Briefing & Reporting; Operational Planning; Stakeholder Communication,"Leads intelligence planning and analysis, integrating multi-source information to produce actionable assessments and briefings for senior decision-makers."
Army,35D,All-Source Intelligence Officer,All-Source Intelligence Officer; Intelligence Analyst (All-Source); Fusion Analyst; Threat Intelligence Manager,,,All-Source Analysis; Data Fusion; Risk Assessment; Reporting; Collection Management,"Integrates information from multiple intelligence disciplines to identify risks and trends, producing decision-ready reports and operational recommendations."
Army,35E,Counterintelligence Officer,Counterintelligence Officer; Risk & Threat Analyst; Insider Threat Program Lead; Security Intelligence Manager,,,Counterintelligence; Insider Threat; Investigations Support; Risk Management; Compliance,"Manages counterintelligence activities to reduce organizational exposure, supporting investigations and implementing risk controls for sensitive operations."
Army,35B,Intelligence Analyst (Legacy),Intelligence Analyst; Operations Analyst; Threat Analyst,,,Intelligence Analysis; Briefing; Reporting; Trend Analysis,"Analyzes operational and intelligence information, producing reports and briefings that support planning and risk-informed decisions."
Army,35C,Human Intelligence Collector (Legacy),Human Intelligence Analyst; Collection Specialist; Field Interviewer (Investigations Support),,,Interviewing; Reporting; Information Collection; Ethics & Compliance,Collects and documents information through structured interactions and reporting processes in support of operational risk assessments.
Army,35Q,Cryptologic Network Warfare Specialist (Legacy),Cyber Threat Analyst; Cybersecurity Analyst; Network Defense Specialist,,,Cybersecurity; Network Defense; Threat Detection; Incident Response,"Performs defensive cyber operations and threat analysis to identify indicators, support remediation, and improve security posture."
Army,35K,Signals Intelligence Analyst (Legacy),Signals Intelligence Analyst; Communications Analyst; Threat Analyst,,,SIGINT; Analysis; Reporting; Pattern Recognition,Analyzes communications-derived data to identify indicators and produce actionable assessments for stakeholders.
Army,35R,Electronic Warfare Specialist (Legacy),Electronic Warfare Specialist; Spectrum Operations Analyst; Signals Operations Specialist,,,Spectrum Management; Electronic Systems; Analysis; Operational Support,"Supports spectrum and electronic systems operations, analyzing activity and producing recommendations that protect mission-critical communications."
Army,35Z,Senior Intelligence Supervisor (Legacy),Senior Intelligence Supervisor; Intelligence Operations Manager; Intelligence Program Manager,,,Leadership; Operations Management; Training; Quality Assurance; Briefing,"Supervises intelligence teams and workflows, ensuring quality outputs, readiness standards, and effective coordination with leadership and partners."
Navy,CWT,Cyber Warfare Technician (formerly CTN),Cybersecurity Analyst; SOC Analyst; Threat Hunter; Incident Response Analyst,,Cybersecurity; Defense; IT Services,Cybersecurity; Threat Detection; Incident Response; Scripting/Automation; Network Security,"Conducts defensive cyber operations, threat detection, and incident response activities to protect networks and improve cybersecurity posture."
