military_term,civilian_equivalent,context,category,example_military,example_civilian
personnel,staff / employees / HR,general,term,,
reorder point,minimum stock trigger / replenishment threshold,logistics,logistics,,
MASINT,measurement and signatures intelligence / technical data collection,intelligence,intelligence,,
COLA,cost of living allowance / location-based pay supplement,financial,financial,,
billet,authorized position / funded role,personnel,personnel,,
GPC,government purchase card / corporate credit card,logistics,acquisition,,
passdown,shift handover / status briefing,general,term,,
fragmentary order,change order / updated directive,general,term,,
fire team leader,small team lead,general,leadership,,
labor hour,hourly billing arrangement,logistics,acquisition,,
report,arrive / check in / start,general,term,,
J&A,justification and approval / sole-source rationale document,logistics,acquisition,,
SMSgt (Senior Master Sergeant),Senior Manager,usaf,rank,,
tactical vehicles,fleet vehicles / field vehicles,general,equipment,,
backstop,verification support for cover identity,intelligence,intelligence,,
contingency,emergency response / backup plan,general,term,,
option year,contract renewal period,logistics,acquisition,,
embarked,deployed / traveling for work,general,term,,
division officer,department manager,general,term,,
PO1 (Petty Officer First Class),Supervisor / Senior Team Lead,navy,rank,,
gripe,maintenance discrepancy / deficiency report,aviation,aviation,,
squared away,organized / well-prepared / professional,general,term,,
joint duty,inter-agency assignment,general,term,,
sick bay,medical clinic / health services,general,term,,
leave,paid time off / vacation,general,term,,
UA,unauthorized absence / no-call no-show,general,acronym,,
operational,active / functioning / deployed,general,term,,
MWR,"Morale, Welfare and Recreation / employee services",general,acronym,,
tour of duty,assignment length / contract period,general,term,,
legend,cover story / assumed identity background,intelligence,intelligence,,
LTC (Lieutenant Colonel),Senior Director,army,rank,,
UNODIR,unless otherwise directed,general,acronym,,
military bearing,professional demeanor / composure,general,term,,
SATCOM,satellite communications,general,equipment,,
LES,leave and earnings statement / pay stub,financial,financial,,
hand receipt,property accountability document,logistics,logistics,,
Lt Col (Lieutenant Colonel),Senior Director,usaf,rank,,
squadron,operational unit of 100-300 employees,general,unit type,,
TBS,The Basic School / officer training,general,acronym,,
SA (Seaman Apprentice),Junior Staff Member,uscg,rank,,
voucher,payment authorization / reimbursement document,financial,financial,,
PPBE,"planning, programming, budgeting, and execution / budget lifecycle process",financial,financial,,
overseas,international / foreign location,general,term,,
DANTES,Defense Activity for Non-Traditional Education Support,general,acronym,,
division,department / team / work group,general,term,,
SDO,Staff Duty Officer / on-call manager,general,acronym,,
PACE plan,primary alternate contingency emergency communication plan,general,planning,,
counseled,provided performance guidance to,general,leadership,,
ETS,Expiration Term of Service / end of contract,general,acronym,,
recall,emergency callback / urgent summons,general,term,,
PWS,performance work statement / deliverables specification,logistics,acquisition,,
NCOIC,Non-Commissioned Officer in Charge / shift supervisor,general,acronym,,
PMO,Provost Marshal Office / military police HQ,general,acronym,,
UIC,Unit Identification Code,general,acronym,,
discharge review,employment separation appeal,legal,legal,,
1LT (First Lieutenant),Manager,army,rank,,
NMC,not mission capable / non-operational / down for maintenance,aviation,aviation,,
LCDR (Lieutenant Commander),Director / Senior Department Head,navy,rank,,
LPO,team lead,navy,leadership,Served as LPO for 15 personnel,Served as team lead for 15 personnel
EP,Top Performer / Early Promote,navy,evaluation,,
dental readiness,dental fitness status / oral health compliance,medical,medical,,
in the fleet,in field operations / working,general,term,,
A school,initial technical training,navy,training,,
orders,assignment notification / transfer paperwork,general,term,,
NKO,Navy Knowledge Online / e-learning platform,general,acronym,,
page 2,emergency contact and dependency record,personnel,personnel,,
combat medic,emergency medical technician / field paramedic,medical,medical,,
FOC,full operating capability / fully operational status,cyber,cyber,,
administrative remarks,official personnel notes / employee file entries,personnel,personnel,,
kit,equipment / tools / supplies,general,term,,
stand down,pause operations / rest period,general,term,,
VA,Veterans Affairs / veterans services,general,acronym,,
USERRA,Uniformed Services Employment and Reemployment Rights Act,general,acronym,,
SN (Seaman),Staff Member,uscg,rank,,
2d Lt (Second Lieutenant),Junior Manager,usaf,rank,,
assigned strength,current headcount / actual staffing,personnel,personnel,,
combat ready,fully operational,general,operations,,
MISO,military information support operations / strategic messaging,general,special operations,,
deployment health,occupational health screening / fitness-for-duty assessment,medical,medical,,
detailing,assignment management / personnel placement,personnel,personnel,,
CINC,Commander in Chief,general,acronym,,
ship,vessel / facility / organization,general,term,,
promotion,advancement / career progression,general,term,,
detail,temporary assignment / special project,general,term,,
IRR,Individual Ready Reserve,general,acronym,,
CONUS,domestic operations,general,operations,,
RDC,Recruit Division Commander / drill instructor,general,acronym,,
FRG,Family Readiness Group,general,acronym,,
UW,unconventional warfare / irregular warfare,general,special operations,,
forward deployed,on-site at client location / field office,general,term,,
galley,dining facility / cafeteria,navy,general,,
BAH,Basic Allowance for Housing / housing stipend,general,acronym,,
COR,Contracting Officer Representative,general,acronym,,
dead drop,concealed exchange point,intelligence,intelligence,,
CMR,Consolidated Memorandum Receipt / inventory document,general,acronym,,
open source,publicly available information,intelligence,intelligence,,
command climate,organizational culture / work environment,general,term,,
hot wash,immediate after-action discussion / quick debrief,general,term,,
secure,finish / complete / lock up,general,term,,
S1,Personnel/Admin section / HR department,general,acronym,,
FORSCOM,Forces Command,general,acronym,,
MSgt (Master Sergeant),Manager,usaf,rank,,
Role 1,first responder care / point-of-injury treatment,medical,medical,,
JPAS,Joint Personnel Adjudication System,general,acronym,,
AIT,Advanced Individual Training / technical certification program,general,acronym,,
SECDEF,Secretary of Defense,general,acronym,,
MAJ (Major),Director,army,rank,,
NATO,North Atlantic Treaty Organization,general,acronym,,
DTS,travel management system,general,logistics,,
inspector general,internal auditor / compliance officer,general,term,,
shipmate,colleague / coworker,navy,general,,
overhead,ceiling,navy,general,,
vulnerability assessment,security testing / penetration testing,cyber,cyber,,
SNCO,Staff Non-Commissioned Officer / senior supervisor,general,acronym,,
relieved,removed from position / terminated,general,term,,
advancement,promotion,general,term,,
rating,job specialty / technical field,general,term,,
TDY,Temporary Duty / business travel,general,acronym,,
smoking lamp,break time / authorized break,general,term,,
GSA,General Services Administration,general,acronym,,
HF/UHF/VHF radio,radio communications systems,general,equipment,,
cadre,training staff / leadership team,general,term,,
fund cite,budget account number / appropriation reference,financial,financial,,
staff,support personnel / administrative team,general,term,,
SECNAV,Secretary of the Navy,general,acronym,,
medic,emergency medical technician / field healthcare provider,medical,medical,,
SgtMaj (Sergeant Major),Senior Director,usmc,rank,,
obstacle construction,barrier installation,engineering,engineering,,
station,assigned location / work position,general,term,,
cost center,budget unit / organizational spending account,financial,financial,,
S2,Intelligence section / analysis department,general,acronym,,
veteran,former military employee,general,term,,
CSM (Command Sergeant Major),Senior Director,army,rank,,
platoon,team of 30-50 / large work group,general,term,,
POA&M,Plan of Action and Milestones / project timeline,general,acronym,,
sweepers,routine cleaning,navy,operations,,
DRMO,surplus property disposal,general,technical,,
sortie,mission,general,operations,,
FTX,field training exercise / hands-on training event,general,acronym,,
NAVFAC,Naval Facilities Engineering Systems Command / Navy construction agency,engineering,engineering,,
POC,point of contact,general,acronym,,
headquarters,corporate office / main office,general,term,,
LZ,landing zone,general,acronym,,
FOIA,Freedom of Information Act request / public records request,legal,legal,,
bandwidth,capacity / available resources,general,term,,
compartmented,restricted access / segmented information,intelligence,intelligence,,
AOR,area of responsibility / managed territory,general,acronym,,
mission essential,critical function / required capability,general,term,,
TEMPEST,emissions security / electronic emanations protection,intelligence,intelligence,,
lifer,career employee / long-term staff,general,term,,
standing watch,on-call duty / shift coverage,general,term,,
case officer,operations manager / field coordinator,intelligence,intelligence,,
claims,damage or injury compensation requests,legal,legal,,
GySgt (Gunnery Sergeant),Manager,usmc,rank,,
NCO,Non-Commissioned Officer / supervisor,general,acronym,,
NVG,night vision equipment / low-light optics,general,equipment,,
at sea,deployed / offshore operations,general,term,,
battle rhythm,recurring meeting schedule / operational cadence,general,operations,,
NEC,specialty qualification,navy,admin,,
BAS,Basic Allowance for Subsistence / meal allowance,general,acronym,,
good to go,ready / approved / cleared to proceed,general,term,,
surplus,excess property / items beyond requirements,logistics,logistics,,
ATO,authority to operate / security certification to deploy,cyber,cyber,,
TACP,tactical air control party / close air support coordinator,general,special operations,,
theater hospital,forward surgical hospital / field hospital,medical,medical,,
hot refuel,refueling with engines running,aviation,aviation,,
AFSC,Air Force Specialty Code / job classification,general,acronym,,
QUAL,qualification / certification,general,acronym,,
ISIC,Immediate Superior in Command,general,acronym,,
hazmat,hazardous materials / dangerous goods,safety,engineering,,
HVAC,"heating, ventilation, and air conditioning",engineering,engineering,,
bench stock,consumable supplies / expendable items on hand,logistics,logistics,,
hangar queen,chronically non-operational equipment,aviation,aviation,,
non-rate,entry-level / undesignated,general,term,,
hump,march / endurance exercise,general,term,,
HQ,headquarters / corporate office,general,acronym,,
IPR,in-progress review / status update meeting,general,acronym,,
APFT,Army Physical Fitness Test / physical readiness assessment,general,acronym,,
ADCON,administrative control,general,acronym,,
duty station,work location / assigned office,general,term,,
SAP,special access program / restricted-access initiative,intelligence,intelligence,,
C school,advanced technical training,navy,training,,
NSW,Naval Special Warfare / Navy special operations,general,special operations,,
plan of the day,daily schedule / agenda,general,term,,
reserve,part-time / on-call,general,term,,
MOU,Memorandum of Understanding / formal agreement,general,acronym,,
patrol,monitoring / surveillance / rounds,general,term,,
SRB,Selective Reenlistment Bonus,general,acronym,,
CASREP,critical equipment failure report,navy,technical,,
Col (Colonel),Executive Director / VP,usmc,rank,,
field grade,senior management,general,term,,
summary court martial,minor judicial proceeding / abbreviated military trial,legal,legal,,
pier,dock / facility entrance,general,term,,
detailer,career counselor / HR placement specialist,general,term,,
NMCI,Navy Marine Corps Intranet,general,acronym,,
TAD,Temporary Additional Duty / temporary assignment,general,acronym,,
line,operational / revenue-generating,general,term,,
Cpl (Corporal),Team Leader,usmc,rank,,
reenlistment,contract renewal / retention,general,term,,
SARC,Sexual Assault Response Coordinator,general,acronym,,
COMSEC,communications security,general,technical,,
source handling,confidential informant management,intelligence,intelligence,,
FAP,Family Advocacy Program,general,acronym,,
CAPT (Captain),Executive Director / VP,navy,rank,,
in port,at home office / not traveling,general,term,,
collateral duty,additional responsibility / secondary assignment,general,term,,
AO,area of operations / assigned region,general,acronym,,
messing,dining,navy,general,,
scuttlebutt,informal information / water cooler talk,navy,general,,
LTJG (Lieutenant Junior Grade),Manager / Project Lead,navy,rank,,
unit,team / department / organizational element,general,term,,
blue jacket,junior enlisted / entry-level employee,general,term,,
QC,Quality Control,general,acronym,,
fleet,enterprise operations unit,general,unit type,,
BOS,base operating support / facility operations,engineering,engineering,,
POV,privately owned vehicle,general,acronym,,
CDC,Career Development Course / professional development program,general,acronym,,
cat shot,catapult launch / assisted takeoff,aviation,aviation,,
CMC,Senior Enlisted Advisor,navy,leadership,,
CPO,Chief Petty Officer,general,acronym,,
arms room,secure storage facility,army,technical,,
COTR,contracting officer technical representative / contract monitor,logistics,acquisition,,
ESR,enlisted service record / employment history file,personnel,personnel,,
squad leader,team supervisor,general,leadership,,
rear detachment,home office support / HQ staff,general,term,,
custody,possession and accountability,logistics,logistics,,
UCMJ,Uniform Code of Military Justice / military legal code,legal,legal,,
end strength,headcount / staffing level,general,term,,
left seat/right seat,job shadowing / transition ride-along,general,term,,
PT,physical training / fitness program,general,acronym,,
effective date,start date,general,term,,
dependents,family members,general,term,,
TMO,Traffic Management Office / shipping coordinator,general,acronym,,
ORM,operational risk management,general,technical,,
chow,meals / cafeteria,general,term,,
fill rate,staffing percentage / position occupancy rate,personnel,personnel,,
CASEVAC,casualty evacuation / emergency patient transport,medical,medical,,
ENS (Ensign),Junior Manager / Associate,navy,rank,,
OCONUS,outside continental United States / overseas,general,acronym,,
qualification,certification / credential,general,term,,
on station,at assigned location / on post,general,term,,
latrine,restroom,general,term,,
naval message,official communication / formal memo,general,term,,
rated,qualified / certified,general,training,,
CAGE code,commercial and government entity code / vendor identification number,logistics,logistics,,
CSMP,maintenance backlog tracking,navy,technical,,
OPSEC,operational security / information security,general,acronym,,
IG,Inspector General / compliance auditor,general,acronym,,
watchstander,shift worker / on-call personnel,general,term,,
pay grade,compensation level / salary band,general,term,,
A1C (Airman First Class),Staff Member,usaf,rank,,
MOS qualified,professionally certified in specialty,army,training,,
2LT (Second Lieutenant),Junior Manager,army,rank,,
regiment,"business unit of 1,000-3,000 employees",general,unit type,,
SSG (Staff Sergeant),Senior Supervisor,army,rank,,
primary duties,core responsibilities,general,term,,
cross-deck,inter-departmental transfer / rotation,general,term,,
field radio,portable communications equipment,general,equipment,,
FAR,Federal Acquisition Regulation / government procurement rules,logistics,acquisition,,
onboard strength,current staffing level,general,admin,,
inter-service,cross-functional / inter-departmental,general,term,,
civil affairs,community engagement / civil-military liaison,general,special operations,,
precept,board guidance letter / selection criteria directive,personnel,personnel,,
INFOSEC,information security,general,technical,,
bridging,cross-training / transitional training,general,term,,
near miss,close call / near-accident incident,safety,safety,,
ladder,stairs / career progression path,general,term,,
barracks,company housing / dormitory,general,term,,
SOC,security operations center / cybersecurity monitoring center,cyber,cyber,,
page 4,service history and qualifications record,personnel,personnel,,
EOD,Explosive Ordnance Disposal / bomb disposal,general,acronym,,
blue team,defensive security team,cyber,cyber,,
LT (Lieutenant),Senior Manager / Department Head,navy,rank,,
head,restroom,general,term,,
firm fixed price,set-price contract / non-adjustable cost agreement,logistics,acquisition,,
homeport,home office / primary work location,general,term,,
preventive maintenance,scheduled maintenance / proactive equipment care,engineering,engineering,,
deploy,travel for work / field assignment,general,term,,
garrison,permanent facility / home office,general,term,,
uniform,dress code / professional attire,general,term,,
SGT (Sergeant),Team Lead / Supervisor,army,rank,,
superior,supervisor / manager,general,term,,
IDIQ,"indefinite delivery, indefinite quantity / flexible-scope contract",logistics,acquisition,,
maintenance,equipment upkeep / preventive care,general,term,,
organizational level maintenance,unit-level routine maintenance,aviation,aviation,,
service record,personnel file / employee record,general,term,,
SIEM,security information and event management / security log analysis platform,cyber,cyber,,
DMZ,demilitarized zone / network buffer zone,cyber,cyber,,
milestone,project checkpoint / achievement marker,logistics,acquisition,,
retention,employee retention / reenlistment,general,term,,
HM,Hospital Corpsman / medical technician,general,acronym,,
CMDCM,Senior Enlisted Advisor,navy,leadership,,
CDRL,contract data requirements list / required deliverables schedule,logistics,acquisition,,
ELINT,electronic intelligence / radar and signal analysis,intelligence,intelligence,,
manning,staffing / headcount,general,term,,
formation,coordinated group movement,aviation,aviation,,
1stLt (First Lieutenant),Manager,usmc,rank,,
say again,please repeat,general,communication,,
ROE,Rules of Engagement / operational guidelines,general,acronym,,
GCPC,government purchase card,general,logistics,,
junior enlisted,entry-level staff,general,term,,
1stSgt (First Sergeant),Operations Manager,usmc,rank,,
DCO,defensive cyber operations / network defense operations,cyber,cyber,,
NSN,National Stock Number / part number,general,acronym,,
seniority,time in position / tenure,general,term,,
DFARS,Defense Federal Acquisition Regulation Supplement,logistics,acquisition,,
NCOES,NCO professional development education,army,training,,
order,directive / instruction / policy,general,term,,
MOS,job specialty code,army,admin,,
watch floor,24/7 operations center / monitoring center,intelligence,intelligence,,
horizontal construction,road and earthwork construction,engineering,engineering,,
deployment,extended business travel / overseas assignment,general,term,,
ACAS,automated compliance and security scanning tool,cyber,cyber,,
