id,military_term,civilian_equivalent,context,category,example_military,example_civilian,created_at
0045615b-f2fa-47ee-97da-08698dbc2b35,personnel,staff / employees / HR,general,Term,,,2026-02-16 22:55:28.448755+00
007c3464-5876-4b64-8997-594ba138695e,reorder point,minimum stock trigger / replenishment threshold,logistics,Logistics,,,2026-02-18 14:03:12.64537+00
00880ce0-012f-43c8-a5e3-018f10f18acb,MASINT,measurement and signatures intelligence / technical data collection,intelligence,Intelligence,,,2026-02-18 14:03:12.64537+00
009c70cb-f050-4f36-9018-9c446a42a8d3,COLA,cost of living allowance / location-based pay supplement,financial,Financial,,,2026-02-18 14:03:12.64537+00
00af4730-3536-41e0-9db6-3ac74bc053b1,billet,authorized position / funded role,personnel,Personnel,,,2026-02-18 14:03:12.64537+00
00e2dccc-97f1-451d-8d39-92781a04e294,GPC,government purchase card / corporate credit card,logistics,Acquisition,,,2026-02-18 14:03:12.64537+00
00fb297d-d44a-4dca-88de-78810a12c169,passdown,shift handover / status briefing,general,Term,,,2026-02-16 22:55:39.300706+00
0140de23-9c7c-4223-8b32-224b2a9544db,fragmentary order,change order / updated directive,general,Term,,,2026-02-18 01:13:54.18454+00
01493d8e-570e-46b1-bd65-46a1c60408e0,fire team leader,small team lead,general,leadership,,,2026-02-15 17:46:34.592483+00
015e0b71-6e0d-45b0-99b5-00dbdc62337d,labor hour,hourly billing arrangement,logistics,Acquisition,,,2026-02-18 14:03:12.64537+00
0195d72f-54b1-468a-80f2-11cdd0bb253e,report,arrive / check in / start,general,Term,,,2026-02-16 22:55:28.448755+00
01df6128-fac7-4408-88c6-c31808414f22,J&A,justification and approval / sole-source rationale document,logistics,Acquisition,,,2026-02-18 14:03:12.64537+00
01e4e3b7-bbdc-4eaf-b591-7727a431c905,SMSgt (Senior Master Sergeant),Senior Manager,usaf,Rank,,,2026-02-16 22:55:39.300706+00
01facf06-5351-416f-b80a-0f6da9617835,tactical vehicles,fleet vehicles / field vehicles,general,Equipment,,,2026-02-16 22:55:28.448755+00
02021b1f-4a52-4c98-a4e1-83d084072c42,backstop,verification support for cover identity,intelligence,Intelligence,,,2026-02-18 14:03:12.64537+00
02c1da33-a4aa-4724-90ca-b62d0b016460,contingency,emergency response / backup plan,general,Term,,,2026-02-16 22:55:28.448755+00
02f6dc50-f9a9-493b-945a-c822dfb5628c,option year,contract renewal period,logistics,Acquisition,,,2026-02-18 14:03:12.64537+00
02fb9ff7-3b2a-490b-9796-ca6931746161,embarked,deployed / traveling for work,general,Term,,,2026-02-16 22:55:39.300706+00
030e34ad-16a4-4eaa-8851-bc0d4493ce6a,division officer,department manager,general,Term,,,2026-02-16 22:55:39.300706+00
03436efe-ae78-4a3f-a328-77b093ba529e,PO1 (Petty Officer First Class),Supervisor / Senior Team Lead,navy,Rank,,,2026-02-16 22:55:39.300706+00
034b47ae-1d5f-43bd-807e-1cb8629c695d,gripe,maintenance discrepancy / deficiency report,aviation,Aviation,,,2026-02-18 14:03:12.64537+00
035880d3-c9b0-4b58-b451-f474b308eaff,squared away,organized / well-prepared / professional,general,Term,,,2026-02-18 01:13:54.18454+00
03bf93bf-b744-435f-b335-f4f778c17028,joint duty,inter-agency assignment,general,Term,,,2026-02-16 22:55:28.448755+00
03e3ba2a-0a44-4054-95f8-5aa3c57a4cac,sick bay,medical clinic / health services,general,Term,,,2026-02-16 22:55:28.448755+00
03f047cc-2cce-4410-91e6-e38d83843500,leave,paid time off / vacation,general,Term,,,2026-02-16 22:55:28.448755+00
0407076a-bab4-4df3-a56f-00db8d8f7d30,UA,unauthorized absence / no-call no-show,general,Acronym,,,2026-02-16 22:55:28.448755+00
04385999-04c2-475d-9805-74e585da10b6,operational,active / functioning / deployed,general,Term,,,2026-02-16 22:55:28.448755+00
052a7503-3911-4754-8ee8-b9cfbf33ae7f,MWR,"Morale, Welfare and Recreation / employee services",general,Acronym,,,2026-02-16 22:55:39.300706+00
052ac636-a76a-4a0d-a019-568921dfdb8a,tour of duty,assignment length / contract period,general,Term,,,2026-02-16 22:55:28.448755+00
0538a2ea-f259-4adb-8fb1-45a255faae82,legend,cover story / assumed identity background,intelligence,Intelligence,,,2026-02-18 14:03:12.64537+00
053e935b-e79f-4fa5-960a-8a48ccfad4cb,LTC (Lieutenant Colonel),Senior Director,army,Rank,,,2026-02-16 22:55:28.448755+00
054f0360-6455-4ccd-a98f-791750130754,UNODIR,unless otherwise directed,general,Acronym,,,2026-02-16 22:55:39.300706+00
05d8ad8a-ce8a-4ca7-af3c-849df7b09835,military bearing,professional demeanor / composure,general,Term,,,2026-02-16 22:55:39.300706+00
05db6f1e-19c1-43bc-9bf3-0cc5f60aa03e,SATCOM,satellite communications,general,Equipment,,,2026-02-16 22:55:39.300706+00
05e9be33-044a-4ed8-bad9-473153a02cfd,LES,leave and earnings statement / pay stub,financial,Financial,,,2026-02-18 14:03:12.64537+00
0601c61a-ef6d-4c0b-9557-80c71ed16112,hand receipt,property accountability document,logistics,Logistics,,,2026-02-18 14:03:12.64537+00
