id,acronym,full_term,civilian_explanation,branch,category,created_at
,1SG,first sergeant,first sergeant,army,Rank,
,3M,maintenance program,maintenance program,navy,Acronym,
,3MA,Maintenance Program Manager,Maintenance Program Manager,navy,Acronym,
,3MC,Maintenance Coordinator,Maintenance Coordinator,navy,Acronym,
,A1C,airman first class,airman first class,usaf,Rank,
,AAFES,military retail,military retail,general,Facility,
,AAR,After Action Report,Post-event analysis and lessons learned,general,communication,
,AB,airman basic,airman basic,usaf,Rank,
,ABCT,armored brigade combat team,armored brigade combat team,army,Acronym,
,ACC,Air Combat Command,Air Combat Command,usaf,Organization,
,ACE,aviation combat element,aviation combat element,usmc,Acronym,
,ACFT,combat fitness test,combat fitness test,army,Training,
,ACO,Airspace Control Order,Air traffic management directive,general,Aviation,
,ACSC,Air Command and Staff College,Air Command and Staff College,usaf,Organization,
,ADCON,Administrative Control,Administrative authority,general,operations,
,ADLS,advanced distributed learning,advanced distributed learning,usaf,Acronym,
,ADMIN,administration,administration,navy,Acronym,
,AE,Architect-Engineer,Design professional / design firm,general,Engineering,
,AEF,Air Expeditionary Force,Air Expeditionary Force,usaf,Acronym,
,AEHF,Advanced Extremely High Frequency,Secure military satellite communications,general,Space,
,AETC,Air Education and Training Command,Air Education and Training Command,usaf,Organization,
,AEW,Air Expeditionary Wing,Air Expeditionary Wing,usaf,Acronym,
,AF,usaf,usaf,usaf,Acronym,
,AFCYBER,Air Forces Cyber,Air Force cybersecurity unit,usaf,Cyber,
,AFGSC,Air Force Global Strike Command,Air Force Global Strike Command,usaf,Organization,
,AFI,Air Force instruction,Air Force instruction,usaf,Acronym,
,AFIMS,information management system,information management system,usaf,System,
,AFMAN,Air Force manual,Air Force manual,usaf,Acronym,
,AFMSA,Air Force Medical Support Agency,AF healthcare support organization,usaf,Medical,
,AFOSI,Air Force Office of Special Investigations,Air Force law enforcement and CI agency,usaf,Intelligence,
,AFPC,Air Force Personnel Center,AF human resources center,usaf,Admin,
,AFPD,Air Force policy directive,Air Force policy directive,usaf,Acronym,
,AFRC,Air Force Reserve Command,Air Force Reserve Command,usaf,Organization,
,AFRICOM,Africa Command,Africa Command,general,Organization,
,AFSC,career field specialty code,career field specialty code,general,Acronym,
