branch,military_code,military_title,civilian_titles,onet_codes,industries,key_skills,description
Army,35A,Military Intelligence Officer,Intelligence Officer; Intelligence Manager; Threat Intelligence Lead; Security Analyst (Intelligence),,,Intelligence Analysis; Threat Assessment; Briefing & Reporting; Operational Planning; Stakeholder Communication,"Leads intelligence planning and analysis, integrating multi-source information to produce actionable assessments and briefings for senior decision-makers."
Army,35D,All-Source Intelligence Officer,All-Source Intelligence Officer; Intelligence Analyst (All-Source); Fusion Analyst; Threat Intelligence Manager,,,All-Source Analysis; Data Fusion; Risk Assessment; Reporting; Collection Management,"Integrates information from multiple intelligence disciplines to identify risks and trends, producing decision-ready reports and operational recommendations."
Army,35E,Counterintelligence Officer,Counterintelligence Officer; Risk & Threat Analyst; Insider Threat Program Lead; Security Intelligence Manager,,,Counterintelligence; Insider Threat; Investigations Support; Risk Management; Compliance,"Manages counterintelligence activities to reduce organizational exposure, supporting investigations and implementing risk controls for sensitive operations."
Army,35B,Intelligence Analyst (Legacy),Intelligence Analyst; Operations Analyst; Threat Analyst,,,Intelligence Analysis; Briefing; Reporting; Trend Analysis,"Analyzes operational and intelligence information, producing reports and briefings that support planning and risk-informed decisions."
Army,35C,Human Intelligence Collector (Legacy),Human Intelligence Analyst; Collection Specialist; Field Interviewer (Investigations Support),,,Interviewing; Reporting; Information Collection; Ethics & Compliance,Collects and documents information through structured interactions and reporting processes in support of operational risk assessments.
Army,35Q,Cryptologic Network Warfare Specialist (Legacy),Cyber Threat Analyst; Cybersecurity Analyst; Network Defense Specialist,,,Cybersecurity; Network Defense; Threat Detection; Incident Response,"Performs defensive cyber operations and threat analysis to identify indicators, support remediation, and improve security posture."
Army,35K,Signals Intelligence Analyst (Legacy),Signals Intelligence Analyst; Communications Analyst; Threat Analyst,,,SIGINT; Analysis; Reporting; Pattern Recognition,Analyzes communications-derived data to identify indicators and produce actionable assessments for stakeholders.
Army,35R,Electronic Warfare Specialist (Legacy),Electronic Warfare Specialist; Spectrum Operations Analyst; Signals Operations Specialist,,,Spectrum Management; Electronic Systems; Analysis; Operational Support,"Supports spectrum and electronic systems operations, analyzing activity and producing recommendations that protect mission-critical communications."
Army,35Z,Senior Intelligence Supervisor (Legacy),Senior Intelligence Supervisor; Intelligence Operations Manager; Intelligence Program Manager,,,Leadership; Operations Management; Training; Quality Assurance; Briefing,"Supervises intelligence teams and workflows, ensuring quality outputs, readiness standards, and effective coordination with leadership and partners."
Navy,CWT,Cyber Warfare Technician (formerly CTN),Cybersecurity Analyst; SOC Analyst; Threat Hunter; Incident Response Analyst,,Cybersecurity; Defense; IT Services,Cybersecurity; Threat Detection; Incident Response; Scripting/Automation; Network Security,"Conducts defensive cyber operations, threat detection, and incident response activities to protect networks and improve cybersecurity posture."
Coast Guard,OS,Operations Specialist,"[""Operations Specialist"",""Command Center Operator"",""Maritime Operations Coordinator""]",,"[""Public Safety"",""Maritime"",""Government""]","[""Operations Management"",""Incident Response"",""Situational Awareness"",""Communications"",""Reporting""]","Monitors maritime operations, coordinates communications, tracks incidents, and supports operational decision-making in a command center environment."
Coast Guard,IT,Information Systems Technician,"[""IT Support Specialist"",""Systems Administrator"",""Network Support Technician""]",,"[""Information Technology"",""Government"",""Maritime""]","[""IT Support"",""Systems Administration"",""Networking"",""Cybersecurity Basics"",""Troubleshooting""]","Provides enterprise IT support, administers accounts and systems, troubleshoots outages, and maintains secure and reliable services for users."
Coast Guard,MK,Machinery Technician,"[""Maintenance Technician"",""Industrial Mechanic"",""Mechanical Technician""]",,"[""Manufacturing"",""Maritime"",""Facilities""]","[""Preventive Maintenance"",""Troubleshooting"",""Mechanical Systems"",""Safety Compliance"",""Repairs""]","Maintains and repairs propulsion and auxiliary machinery, executing preventive and corrective maintenance to maximize equipment availability and safety."
Coast Guard,EM,Electrician's Mate,"[""Electrical Technician"",""Industrial Electrician"",""Electrical Maintenance Technician""]",,"[""Utilities"",""Manufacturing"",""Maritime""]","[""Electrical Systems"",""Preventive Maintenance"",""Troubleshooting"",""Safety Compliance"",""Repairs""]","Installs, maintains, and repairs electrical systems; diagnoses faults and restores service to support safe and reliable operations."
Coast Guard,HS,Health Services Technician,"[""Medical Assistant"",""Clinical Support Specialist"",""Healthcare Technician""]",,"[""Healthcare"",""Public Health"",""Government""]","[""Patient Care"",""Medical Administration"",""Triage"",""HIPAA/Privacy"",""Recordkeeping""]","Provides clinical support, patient care assistance, and medical administration to maintain health readiness and quality-of-care standards."
Coast Guard,SK,Storekeeper,"[""Supply Specialist"",""Procurement Specialist"",""Inventory Control Specialist""]",,"[""Logistics"",""Government"",""Maritime""]","[""Inventory Management"",""Procurement"",""Logistics"",""Accountability"",""Vendor Coordination""]","Manages procurement and inventory, processes requisitions, tracks assets, and ensures timely distribution of supplies to support operations."
Coast Guard,BM,Boatswain's Mate,"[""Operations Supervisor"",""Maritime Deck Supervisor"",""Field Operations Lead""]",,"[""Maritime"",""Public Safety"",""Government""]","[""Team Leadership"",""Operations"",""Safety"",""Training"",""Seamanship""]","Leads deck operations and maritime missions; supervises small teams, enforces safety standards, and supports mission execution on cutters and small boats."
Coast Guard,ME,Maritime Enforcement Specialist,"[""Security Specialist"",""Law Enforcement Officer"",""Protective Services Specialist""]",,"[""Public Safety"",""Security"",""Government""]","[""Security Operations"",""Law Enforcement"",""Incident Response"",""Risk Assessment"",""Compliance""]","Conducts maritime law enforcement and security operations, performs boardings/inspections, and supports incident response and risk mitigation."
Army,35B,Intelligence Analyst (legacy),"[""Intelligence Analyst"",""Data Analyst"",""Operations Analyst""]",,"[""Government"",""Defense"",""Intelligence""]","[""Analysis"",""Reporting"",""Briefing"",""Research"",""Critical Thinking""]","Analyzes information from multiple sources to identify trends, risks, and actionable insights for leadership (legacy MOS code)."
Army,35C,Imagery Analyst (legacy),"[""Imagery Analyst"",""Geospatial Analyst"",""Intelligence Analyst""]",,"[""Government"",""Defense"",""Intelligence""]","[""Imagery Analysis"",""Geospatial Analysis"",""Reporting"",""Briefing"",""Attention to Detail""]",Interprets imagery and visual data to produce intelligence products that support planning and decision-making (legacy MOS code).
Army,35K,Signals Intelligence Analyst (legacy),"[""Signals Intelligence Analyst"",""Cyber Intelligence Analyst"",""Threat Analyst""]",,"[""Government"",""Defense"",""Intelligence""]","[""Signals Analysis"",""Threat Detection"",""Reporting"",""Analysis"",""Briefing""]",Analyzes communications-derived data to identify indicators and provide actionable intelligence to stakeholders (legacy MOS code).
