id,branch,military_code,military_title,civilian_titles,onet_codes,industries,key_skills,description,created_at
002ba187-880c-4396-8c7a-e289afdac294,usaf,1N0X1,All Source Intelligence Analyst,"[""Intelligence Analyst"",""All-Source Analyst"",""Threat Analyst"",""Research Analyst"",""Business Intelligence Analyst""]","[""13-1161.00""]","[""Intelligence"",""Defense"",""Government"",""Consulting""]","[""All-Source Analysis"",""Intelligence Collection"",""Threat Assessment"",""DCGS"",""Briefing"",""Report Writing""]",Fuses multi-source intelligence to produce all-source analysis,2026-02-15 17:47:32.616746+00
010f9916-b8a3-4c61-902f-2d5f2504dfdc,army,42A,Human Resources Specialist,"[""HR Specialist"",""HR Generalist"",""Personnel Specialist"",""Recruiter"",""Benefits Administrator""]",,"[""Human Resources"",""Any Industry""]",[],,2026-02-16 22:55:20.512186+00
01c2600c-8b17-42d3-ae67-9b488af6f984,army,91F,Small Arms/Artillery Repairer,"[""Gunsmith"",""Armorer"",""Weapons Technician"",""Firearms Repair Specialist""]",,"[""Firearms"",""Security"",""Sporting Goods""]",[],,2026-02-16 22:55:20.512186+00
02ae8eb9-0adf-4b1b-8c04-84e55accd814,navy,UT,Utilitiesman,"[""Plumber"",""HVAC Technician"",""Utilities Technician"",""Water Treatment Specialist"",""Facilities Maintenance Technician""]","[""47-2152.00"",""49-9021.00""]","[""Construction"",""Utilities"",""Facilities""]","[""Plumbing"",""HVAC"",""Water Treatment"",""Electrical"",""Boilers"",""Refrigeration"",""Fire Protection Systems""]","Installs and maintains plumbing, HVAC, and utility systems",2026-02-15 17:47:32.616746+00
02eb63ab-87cb-4f5c-9409-699f4a6da577,navy,FC,Fire Controlman,"[""Weapons Systems Technician"",""Defense Systems Analyst"",""Radar Systems Technician"",""Systems Integration Specialist"",""Test Engineer""]","[""17-3023.00"",""17-2199.00""]","[""Defense"",""Aerospace"",""Technology""]","[""Weapons Systems"",""Combat Systems"",""Radar"",""Missile Systems"",""Electronics"",""Troubleshooting"",""System Integration""]",Operates and maintains weapons control systems,2026-02-15 17:46:34.592483+00
0352eaeb-7b55-4d3e-8306-554301308dd6,usaf,3E8X1,Explosive Ordnance Disposal,"[""EOD Technician"",""Bomb Technician"",""Explosive Safety Specialist"",""Security Consultant""]",,"[""Law Enforcement"",""Security"",""Defense"",""Mining""]",[],,2026-02-16 22:55:20.512186+00
0396bc37-619c-4955-bd74-d6ebf0e53454,usmc,0321,Reconnaissance Marine,"[""Security Consultant"",""Special Operations Specialist""]",,"[""Security"",""Defense"",""Consulting""]",[],,2026-02-16 22:55:20.512186+00
04309867-dc91-42a0-9537-1d7b1b3d706c,army,36B,Financial Management Technician,"[""Accountant"",""Financial Analyst"",""Budget Analyst"",""Payroll Specialist"",""Bookkeeper""]",,"[""Finance"",""Accounting"",""Government"",""Any Industry""]",[],,2026-02-16 22:55:20.512186+00
04a24a01-ceec-4a38-8497-91019ed74ea5,navy,AC,Air Traffic Controller,"[""Air Traffic Controller"",""ATC Specialist"",""Airspace Manager"",""Aviation Operations Coordinator""]","[""53-2021.00""]","[""Aviation"",""FAA"",""Defense""]","[""Air Traffic Control"",""Radar"",""Airspace Management"",""Communication"",""FAA Regulations""]",Controls air traffic in terminal and en route environments,2026-02-15 17:47:32.616746+00
04e5d2f5-5ac7-4021-a34a-e78d3fa8de86,navy,GSM,Gas Turbine Systems Technician Mechanical,"[""Gas Turbine Mechanic"",""Power Plant Mechanic"",""Industrial Mechanic"",""Turbine Technician"",""Plant Operator""]",,"[""Energy"",""Utilities"",""Oil & Gas"",""Manufacturing""]",[],,2026-02-16 22:55:20.512186+00
0505bacc-6d74-4f38-92ab-8e3609fa612e,navy,YN,Yeoman,"[""Administrative Assistant"",""Executive Assistant"",""Office Manager"",""Records Manager"",""Administrative Coordinator""]",,"[""Any Industry"",""Government"",""Legal"",""Healthcare""]",[],,2026-02-16 22:55:20.512186+00
05ed9f8a-7ee5-4980-8638-68cf24c8aa71,uscg,IST,Intelligence Systems Technician,"[""Intelligence Systems Manager"",""IT Security Manager"",""Systems Administrator""]",,"[""Intelligence"",""Technology"",""Government""]",[],,2026-02-16 22:55:20.512186+00
05fd21b9-ca67-4699-af9f-8b577812b682,navy,HM,Hospital Corpsman,"[""Medical Assistant"",""EMT/Paramedic"",""LPN/LVN"",""Phlebotomist"",""Medical Technician"",""Healthcare Administrator""]",,"[""Healthcare"",""Emergency Services"",""Government"",""Pharmaceutical""]",[],,2026-02-16 22:55:20.512186+00
0698479a-cf5f-4729-8d28-cbbd07e63600,ussf,5S0X1,Space Systems Operations,"[""Satellite Operations Specialist"",""Space Systems Operator"",""Mission Control Specialist"",""Ground Station Operator"",""Spacecraft Operations Engineer""]",,"[""Aerospace"",""Space"",""Telecommunications"",""Defense""]",[],,2026-02-16 22:55:20.512186+00
06f78658-c5a2-4880-bb66-668df2e483b1,usaf,3D0X2,Cyber Systems Operations,"[""Systems Administrator"",""Network Engineer"",""Cloud Engineer"",""DevOps Engineer"",""IT Manager""]","[""15-1244.00"",""15-1231.00""]","[""Technology"",""Government"",""Defense"",""Cloud""]","[""Windows Server"",""Linux"",""Active Directory"",""VMware"",""Network Security"",""Cloud Computing"",""Scripting""]","Designs, installs, and supports cyber systems",2026-02-15 17:46:34.592483+00
0758c56c-739a-477c-935f-c610c46665fb,army,89B,Ammunition Specialist,"[""Ammunition Handler"",""Ordnance Specialist"",""Inventory Specialist"",""Warehouse Specialist""]",,"[""Defense"",""Security"",""Warehousing""]",[],,2026-02-16 22:55:20.512186+00
075c687f-2a12-485b-b98d-96ae4487dc09,usmc,3112,Distribution Management Specialist,"[""Distribution Manager"",""Logistics Coordinator"",""Inventory Manager""]",,"[""Logistics"",""Distribution"",""Retail""]",[],,2026-02-16 22:55:20.512186+00
087d7b14-89c6-4c48-b2be-538866439887,army,15Q,Air Traffic Control Operator,"[""Air Traffic Controller"",""Flight Operations Specialist"",""Aviation Operations Manager""]",,"[""Aviation"",""Transportation"",""Government""]",[],,2026-02-16 22:55:20.512186+00
