id,military_context,civilian_skill,civilian_description,resume_phrase,created_at
,Standing watch for hours,Reliability,Consistently dependable and accountable for assigned responsibilities,Highly reliable professional with proven accountability record,
,Mentoring junior personnel,Talent Development,Develops and grows team members capabilities,"Develops high-performing teams through coaching, mentoring, and targeted training",
,Briefing senior leadership,Executive Communication,Communicates clearly and concisely to senior leadership,"Delivers clear, concise briefings to C-suite and executive-level stakeholders",
,Attention to detail in life-or-death situations,Precision and Quality,Applies meticulous attention to detail in all work products,Applies rigorous quality standards and meticulous attention to detail,
,Joint operations with other services,Cross-Functional Collaboration,Works effectively across different departments and organizations,Collaborates effectively across organizational boundaries to achieve shared objectives,
,Qualifying on multiple systems,Fast Learner,Rapidly acquires new skills and qualifications,Rapidly acquires new technical skills and professional certifications,
,Making decisions with incomplete info,Decisive Judgment,Makes sound decisions quickly with limited information,Exercises sound judgment and decisive action in ambiguous situations,
,Accountability at all levels,Ownership Mentality,Takes full ownership of responsibilities and outcomes,Demonstrates full ownership of deliverables and accountability for outcomes,
,Living by military values,Integrity,Operates with honesty and strong ethical standards,Demonstrates uncompromising integrity and ethical standards,
,Planning operations,Strategic Thinking,"Plans ahead, anticipates challenges, and develops contingencies",Develops comprehensive plans with risk mitigation and contingency strategies,
,Adapting to deployments and PCS moves,Adaptability,Thrives in changing environments and adjusts quickly to new challenges,"Demonstrates exceptional adaptability in dynamic, fast-changing environments",
,Working with diverse teams globally,Cross-Cultural Communication,Effective communicator across diverse teams and cultures,"Communicates effectively across diverse teams, cultures, and organizational levels",
,Mission accomplishment mindset,Results Orientation,Relentlessly focused on achieving objectives and delivering outcomes,Consistently delivers measurable results against aggressive timelines,
,Never leaving someone behind,Team Commitment,Deeply committed to team success and supporting colleagues,Demonstrates unwavering commitment to team objectives and colleague support,
,Planning and executing liberty/leave,Work-Life Balance Advocate,Values team wellbeing while maintaining operational effectiveness,Balances operational demands with team wellbeing to sustain long-term performance,
,PT/physical readiness,Discipline,Self-motivated with strong personal discipline and work ethic,Maintains exceptional personal discipline and consistent work ethic,
,Maintaining equipment in austere conditions,Resourcefulness,Finds creative solutions with limited resources,Delivers innovative solutions using available resources in constrained environments,
,Following orders and chain of command,Organizational Alignment,Works effectively within organizational hierarchy and follows established processes,Operates effectively within organizational structures and established processes,
,Following and enforcing regulations,Compliance Orientation,"Ensures adherence to policies, regulations, and standards",Ensures organizational compliance with regulatory requirements and industry standards,
,After action reviews,Continuous Improvement,Actively learns from experience and improves processes,Champions continuous improvement through structured post-project analysis,
,Damage control / firefighting,Crisis Management,Remains calm and effective during emergencies,Maintains composure and leads effectively during high-stakes crisis situations,
,Working under fire/high stress,Pressure Management,Delivers consistent results under extreme pressure and tight deadlines,Maintains peak performance under high-pressure conditions with competing priorities,
