id,section,template_name,target_role,target_industry,template_text,placeholders,tips,created_at
0b75075f-6b28-4ea4-a201-e1e540dee6d7,headline,Healthcare,Medical Professional,healthcare,{{civilian_title}} | {{certification}} | {{years}}+ Years Clinical Experience | {{specialty}},"{""optional"":[""specialty""],""required"":[""civilian_title"",""years"",""certification""]}",Lead with civilian medical title and certifications. Patient volume is a strong metric.,2026-02-15 17:46:34.592483+00
4d0dac4e-1499-4f5b-9bb8-97e4227d9f70,headline,PM Defense,Project Manager,defense,{{civilian_title}} | {{certification}} | {{clearance}} | {{years}}+ Years {{specialty}},"{""optional"":[""certification"",""clearance"",""specialty""],""required"":[""civilian_title"",""years""]}","Keep under 120 characters. Lead with your target role, not military rank. Include clearance if relevant.",2026-02-15 17:46:34.592483+00
4e3e7ba1-8351-4f76-8dbb-d92e18bf883c,headline,Federal Career,Federal Employee,federal,{{civilian_title}} | {{clearance}} | {{degree}} | Veterans Preference Eligible,"{""optional"":[""clearance"",""degree""],""required"":[""civilian_title""]}",Include Veterans Preference status. Federal hiring managers look for this.,2026-02-15 17:46:34.592483+00
5c89c30a-a498-4b2e-b600-7b3ca3b40510,about,Veteran Transition General,,general,"{{years}}+-year {{branch}} veteran transitioning to {{target_industry}}. I bring {{key_skill_1}}, {{key_skill_2}}, and {{key_skill_3}} honed through {{experience_summary}}.\n\nKey accomplishments:\n• {{achievement_1}}\n• {{achievement_2}}\n• {{achievement_3}}\n\nCertifications: {{certifications}}\nClearance: {{clearance}}\nSeeking: {{target_role}} roles in {{target_location}}","{""optional"":[""experience_summary"",""achievement_1"",""achievement_2"",""achievement_3"",""certifications"",""clearance"",""target_role"",""target_location""],""required"":[""years"",""branch"",""target_industry"",""key_skill_1"",""key_skill_2"",""key_skill_3""]}","Keep under 2600 characters. First 3 lines show in preview, make them count. Use civilian language throughout. Include keywords for your target role.",2026-02-15 17:46:34.592483+00
729d1df5-2a8b-43d8-b6f2-74d09cb21a71,skills,Top Skills by Industry,,general,{{skill_list}},"{""note"":""Use dict_mos_to_civilian key_skills and supplement with industry keywords""}",LinkedIn allows 50 skills. Lead with your top 5 most relevant to target role. Get endorsements for these 5 first. Remove military-only skills that dont translate.,2026-02-15 17:46:34.592483+00
83eede39-272b-43da-a552-ed625d087c0f,headline,Cybersecurity,Cybersecurity Analyst,cybersecurity,{{civilian_title}} | {{top_cert}} | {{clearance}} | Protecting Critical Infrastructure,"{""optional"":[""clearance""],""required"":[""civilian_title"",""top_cert""]}","Highlight your top certification (CISSP, CEH, etc.). Clearance is a major differentiator.",2026-02-15 17:46:34.592483+00
cf4a8359-1cc0-4873-81c9-29e5e7fa3c9c,about,Technical Veteran,,technology,"Technology professional with {{years}}+ years of experience managing and securing enterprise systems in mission-critical environments. {{branch}} veteran bringing {{key_skill_1}} and {{key_skill_2}} expertise to the {{target_industry}} sector.\n\nI have led teams of up to {{team_size}} across {{scope}}, delivering {{quantified_result}}.\n\nCore Competencies: {{skills_list}}\nCertifications: {{certifications}}\n\nOpen to: {{target_role}} opportunities in {{target_location}}","{""optional"":[""target_industry"",""team_size"",""scope"",""quantified_result"",""skills_list"",""certifications"",""target_role"",""target_location""],""required"":[""years"",""branch"",""key_skill_1"",""key_skill_2""]}","Lead with civilian identity, not military. Technical recruiters search for specific skills and certs.",2026-02-15 17:46:34.592483+00
dda8fa70-0089-4572-b44c-00d0de3b8220,experience,Military Experience Block,,general,"{{civilian_equivalent_title}} | {{branch}}, {{command}}\n{{start_date}} - {{end_date}} | {{location}}\n\n{{summary}}\n\n• {{bullet_1}}\n• {{bullet_2}}\n• {{bullet_3}}\n• {{bullet_4}}","{""optional"":[""command"",""location"",""summary"",""bullet_1"",""bullet_2"",""bullet_3"",""bullet_4""],""required"":[""civilian_equivalent_title"",""branch"",""start_date"",""end_date""]}","Use civilian title first, military context second. Each bullet should have a metric. Company = Branch of Service. Title = Civilian equivalent role. Do NOT use rank as your title.",2026-02-15 17:46:34.592483+00
e5b8117f-25d1-460e-82e6-28fb491264e1,headline,IT Professional,IT Manager,technology,{{civilian_title}} | {{top_cert}} | {{years}}+ Years Enterprise IT | {{specialty}},"{""optional"":[""top_cert"",""specialty""],""required"":[""civilian_title"",""years""]}",Use civilian titles recruiters search for. Avoid military jargon entirely.,2026-02-15 17:46:34.592483+00
e8f07617-8b0d-4187-be75-c4ca50ccfbb7,headline,Operations Manager,Operations Manager,general,{{civilian_title}} | {{degree}} | {{years}}+ Years Leading High-Performance Teams,"{""optional"":[""degree""],""required"":[""civilian_title"",""years""]}",Emphasize leadership scope and results. Operations is a universal transferable skill.,2026-02-15 17:46:34.592483+00
