id,branch,military_code,military_title,civilian_titles,onet_codes,industries,key_skills,description,created_at
,usaf,1N0X1,All Source Intelligence Analyst,"[""Intelligence Analyst"",""All-Source Analyst"",""Threat Analyst"",""Research Analyst"",""Business Intelligence Analyst""]","[""13-1161.00""]","[""Intelligence"",""Defense"",""Government"",""Consulting""]","[""All-Source Analysis"",""Intelligence Collection"",""Threat Assessment"",""DCGS"",""Briefing"",""Report Writing""]",Fuses multi-source intelligence to produce all-source analysis,
,army,42A,Human Resources Specialist,"[""HR Specialist"",""HR Generalist"",""Personnel Specialist"",""Recruiter"",""Benefits Administrator""]",,"[""Human Resources"",""Any Industry""]",[],,
,army,91F,Small Arms/Artillery Repairer,"[""Gunsmith"",""Armorer"",""Weapons Technician"",""Firearms Repair Specialist""]",,"[""Firearms"",""Security"",""Sporting Goods""]",[],,
,navy,UT,Utilitiesman,"[""Plumber"",""HVAC Technician"",""Utilities Technician"",""Water Treatment Specialist"",""Facilities Maintenance Technician""]","[""47-2152.00"",""49-9021.00""]","[""Construction"",""Utilities"",""Facilities""]","[""Plumbing"",""HVAC"",""Water Treatment"",""Electrical"",""Boilers"",""Refrigeration"",""Fire Protection Systems""]","Installs and maintains plumbing, HVAC, and utility systems",
,navy,FC,Fire Controlman,"[""Weapons Systems Technician"",""Defense Systems Analyst"",""Radar Systems Technician"",""Systems Integration Specialist"",""Test Engineer""]","[""17-3023.00"",""17-2199.00""]","[""Defense"",""Aerospace"",""Technology""]","[""Weapons Systems"",""Combat Systems"",""Radar"",""Missile Systems"",""Electronics"",""Troubleshooting"",""System Integration""]",Operates and maintains weapons control systems,
,usaf,3E8X1,Explosive Ordnance Disposal,"[""EOD Technician"",""Bomb Technician"",""Explosive Safety Specialist"",""Security Consultant""]",,"[""Law Enforcement"",""Security"",""Defense"",""Mining""]",[],,
,usmc,0321,Reconnaissance Marine,"[""Security Consultant"",""Special Operations Specialist""]",,"[""Security"",""Defense"",""Consulting""]",[],,
,army,36B,Financial Management Technician,"[""Accountant"",""Financial Analyst"",""Budget Analyst"",""Payroll Specialist"",""Bookkeeper""]",,"[""Finance"",""Accounting"",""Government"",""Any Industry""]",[],,
,navy,AC,Air Traffic Controller,"[""Air Traffic Controller"",""ATC Specialist"",""Airspace Manager"",""Aviation Operations Coordinator""]","[""53-2021.00""]","[""Aviation"",""FAA"",""Defense""]","[""Air Traffic Control"",""Radar"",""Airspace Management"",""Communication"",""FAA Regulations""]",Controls air traffic in terminal and en route environments,
,navy,GSM,Gas Turbine Systems Technician Mechanical,"[""Gas Turbine Mechanic"",""Power Plant Mechanic"",""Industrial Mechanic"",""Turbine Technician"",""Plant Operator""]",,"[""Energy"",""Utilities"",""Oil & Gas"",""Manufacturing""]",[],,
