military_phrase,civilian_phrase,branch,category,context_notes,job_family
worked in S6,supported the unit IT/communications team by troubleshooting issues and restoring network services,Army,cyber,Common shorthand in bullets,cyber
coordinated with BN S6,partnered with the unit IT team to resolve outages and restore service availability,Army,cyber,Battalion S6 coordination,cyber
served as COMSEC custodian,"managed communications security controls, safeguarding cryptographic materials and ensuring compliance",All,compliance,Avoid too-classified wording; focus on compliance,admin
worked with the IAO,partnered with the cybersecurity compliance lead to document controls and reduce security risk,All,cyber,IAO often means IA/RMF lead,cyber
sent to BDE S1,routed personnel actions through the brigade HR office to meet administrative timelines,Army,administration,Personnel processing,operations
synced with BDE S3,aligned plans and schedules with the operations office to support on-time execution,Army,operations,Ops planning coordination,operations
coordinated with BDE S4,coordinated supply and sustainment requirements with the logistics office to prevent shortages,Army,logistics,Logistics coordination,logistics
supported cutter operations,"supported vessel operations through planning, coordination, and readiness tracking",Coast Guard,operations,Coast Guard cutter term,operations
qualified as boat crew,earned qualification as a small boat operations team member through training and evaluated performance,Coast Guard,training,Qualification pipeline,leadership
led a boarding team,"led maritime inspection operations, ensuring safety, compliance, and effective execution",Coast Guard,security,ME/boarding operations,operations
