acronym,full_term,civilian_explanation,branch,category
1SG,first sergeant,first sergeant,army,rank
3M,maintenance program,maintenance program,navy,acronym
3MA,Maintenance Program Manager,Maintenance Program Manager,navy,acronym
3MC,Maintenance Coordinator,Maintenance Coordinator,navy,acronym
A1C,airman first class,airman first class,usaf,rank
AAFES,military retail,military retail,general,facility
AAR,After Action Report,Post-event analysis and lessons learned,general,communication
AB,airman basic,airman basic,usaf,rank
ABCT,armored brigade combat team,armored brigade combat team,army,acronym
ACC,Air Combat Command,Air Combat Command,usaf,organization
ACE,aviation combat element,aviation combat element,usmc,acronym
ACFT,combat fitness test,combat fitness test,army,training
ACO,Airspace Control Order,Air traffic management directive,general,aviation
ACSC,Air Command and Staff College,Air Command and Staff College,usaf,organization
ADCON,Administrative Control,Administrative authority,general,operations
ADLS,advanced distributed learning,advanced distributed learning,usaf,acronym
ADMIN,administration,administration,navy,acronym
AE,Architect-Engineer,Design professional / design firm,general,engineering
AEF,Air Expeditionary Force,Air Expeditionary Force,usaf,acronym
AEHF,Advanced Extremely High Frequency,Secure military satellite communications,general,space
AETC,Air Education and Training Command,Air Education and Training Command,usaf,organization
AEW,Air Expeditionary Wing,Air Expeditionary Wing,usaf,acronym
AF,usaf,usaf,usaf,acronym
AFCYBER,Air Forces Cyber,Air Force cybersecurity unit,usaf,cyber
AFGSC,Air Force Global Strike Command,Air Force Global Strike Command,usaf,organization
AFI,Air Force instruction,Air Force instruction,usaf,acronym
AFIMS,information management system,information management system,usaf,system
AFMAN,Air Force manual,Air Force manual,usaf,acronym
AFMSA,Air Force Medical Support Agency,AF healthcare support organization,usaf,medical
AFOSI,Air Force Office of Special Investigations,Air Force law enforcement and CI agency,usaf,intelligence
AFPC,Air Force Personnel Center,AF human resources center,usaf,admin
AFPD,Air Force policy directive,Air Force policy directive,usaf,acronym
AFRC,Air Force Reserve Command,Air Force Reserve Command,usaf,organization
AFRICOM,Africa Command,Africa Command,general,organization
AFSC,career field specialty code,career field specialty code,general,acronym
AFSOC,Air Force Special Operations Command,Air Force Special Operations Command,usaf,organization
AFSPC,Air Force Space Command,Air Force Space Command,usaf,organization
AGM,Air-to-Ground Missile,Aircraft-launched surface attack missile,general,aviation
