id,military_phrase,civilian_phrase,branch,category,context_notes,created_at
00136e48-8078-4fd0-a3b0-b231e6ff4bc0,served as repair locker leader,served as emergency response team leader,navy,operations,,2026-02-15 17:48:35.249974+00
00967f9a-40fe-4a8a-a82f-09131cf542a4,briefed flag officers,presented to C-suite executives,navy,communication,,2026-02-15 17:47:32.616746+00
00b25d51-789b-4e77-8d0b-2e58bc5c782e,received Joint Service Achievement Medal,received joint organization achievement award,general,admin,,2026-02-15 17:48:35.249974+00
00f0b7b7-884e-4302-9eac-a8c4a9ad760b,brief down,communicate to the team,general,Communication,,2026-02-18 14:03:12.64537+00
00f997ed-9b03-4a5b-86f8-c2caf935bd58,took the helm,assumed executive leadership,navy,Leadership,,2026-02-18 14:03:12.64537+00
01075210-7c0c-42ef-a3d3-4848f7a9c46c,hand-selected for,competitively selected for,general,Leadership,,2026-02-18 14:03:12.64537+00
01972998-3fe1-49d4-b06b-d2f7642c93bd,intelligence fusion,multi-source data integration and analysis,general,intel,,2026-02-18 01:13:54.18454+00
01b1af2a-19b9-458d-9ca8-7ab5e962b0bd,medical treatment facility,healthcare facility / clinic,general,medical,,2026-02-18 01:13:54.18454+00
01c7cda4-4080-4b08-9987-532870986910,shaping operations,preparatory activities / preliminary operations,general,operations,,2026-02-18 01:13:54.18454+00
022abb12-bc5a-449f-a686-fb70cd513800,HAZMAT locker,hazardous materials storage facility,general,Safety,,2026-02-18 14:03:12.64537+00
0272793d-8604-492a-b5dc-84cd53a351d5,corrective action,performance improvement action,general,admin,,2026-02-15 17:48:35.249974+00
02fefa5c-5c52-4b3b-817e-82f5c08686ba,perfect score,achieved maximum score,general,performance,,2026-02-15 17:47:32.616746+00
036afb18-e940-49d7-b47d-12c48fa9ba1b,delivered on time and on target,completed all deliverables on schedule and within scope,general,Performance,,2026-02-18 14:03:12.64537+00
0434f618-8d81-4db5-9063-523dcc797e0d,corrective action report,corrective and preventive action documentation,general,Safety,,2026-02-18 14:03:12.64537+00
044a80ed-98e2-45c6-9fc4-b804ce1d5508,information brief,informational presentation with no decision required,general,Communication,,2026-02-18 14:03:12.64537+00
05300b3d-351a-4d17-bcea-fd92a4dc3d42,safety officer,safety compliance manager,general,safety,,2026-02-15 17:47:32.616746+00
054d6060-bff5-4a94-9809-15f100086d21,PMCS,preventive maintenance checks and services,army,Equipment,,2026-02-18 14:03:12.64537+00
055f3e79-2178-435e-856e-7e1f253b076e,signals intelligence,electronic data collection and analysis,general,intel,,2026-02-18 01:13:54.18454+00
0663b65e-2f27-4080-bc54-28220235999c,troop leading procedures,team planning and execution methodology,general,leadership,,2026-02-18 01:13:54.18454+00
06b395b3-b774-4d38-aa6b-13baabdde324,radio operator,communications specialist / radio technician,general,comms,,2026-02-18 01:13:54.18454+00
07904a1b-166e-424f-9b02-630617704b94,promote immediately,strongest recommendation for accelerated advancement,general,performance,,2026-02-15 17:48:35.249974+00
07aa8ea2-0e18-44c4-abae-87a6e21641d2,right-hand man,primary deputy,general,Leadership,,2026-02-18 14:03:12.64537+00
07cbf0f1-3b34-4183-9fb0-829abe5f976e,counterintelligence,security threat mitigation / insider threat prevention,general,intel,,2026-02-18 01:13:54.18454+00
0868f3cf-6cac-4b37-849b-ee8924e380c4,courts-martial proceedings,formal legal proceedings / adjudication,general,legal,,2026-02-18 01:13:54.18454+00
0898829d-e656-4f48-a069-7787f6192bb9,disaster relief operations,natural disaster emergency response operations,general,operations,,2026-02-15 17:48:35.249974+00
08babe66-bd27-433c-aaa5-b2c677f07694,served as NCOIC,served as section noncommissioned officer in charge,usaf,leadership,,2026-02-15 17:48:35.249974+00
08cefad8-3a6f-4ddc-96ce-531945fc33a7,casualty report,critical equipment failure report,navy,technical,,2026-02-15 17:47:32.616746+00
08d83993-dee4-40a6-aeca-11196243372a,offensive cyber operations,penetration testing / red team operations,general,cyber,,2026-02-18 01:13:54.18454+00
09417c34-7c07-45eb-a6d7-54f3393e7e10,COSAL allowance,authorized equipment and parts list,navy,Equipment,,2026-02-18 14:03:12.64537+00
0990ce9b-d221-4727-b75d-af293d00eb14,controlled inventory item,high-value item requiring special tracking,general,Equipment,,2026-02-18 14:03:12.64537+00
09948c75-a735-40b5-8455-c598be5e530f,acquisition management,procurement management / purchasing oversight,general,financial,,2026-02-18 01:13:54.18454+00
09d186c5-04da-40ca-8454-d1214e2c30e8,earned SNCO of the Quarter,selected as senior manager of the quarter,usaf,performance,,2026-02-15 17:48:35.249974+00
09df0e9b-bff0-4a7b-9227-817708700a68,saved man-hours,reduced labor hours,general,performance,,2026-02-15 17:47:32.616746+00
0a959b95-8baa-43a1-abfc-71c4340a5944,broke down barriers,removed organizational obstacles,general,Leadership,,2026-02-18 14:03:12.64537+00
0ab67d1a-d673-4b08-a771-d93a130173e0,execute order,authorization to proceed,general,Operations,,2026-02-18 14:03:12.64537+00
0ac6fddf-816a-48d9-b653-c76a4e4a4216,SCBA qualified,self-contained breathing apparatus certified,navy,training,,2026-02-15 17:48:35.249974+00
0b8e25bd-57a8-4ca7-b773-1f07d996df75,served as flight chief,served as section supervisor for 20-50 personnel,usaf,leadership,,2026-02-15 17:48:35.249974+00
0be54b80-681a-4579-9fba-9e872f5aced8,master training specialist,certified master-level instructor,navy,training,,2026-02-15 17:48:35.249974+00
0beaa33f-b143-405c-bb20-7c0a2a3361fa,earned NCO of the Quarter,selected as supervisor of the quarter,usaf,performance,,2026-02-15 17:48:35.249974+00
0bfa0ca6-d832-47e9-bf2f-e6ee0c8b14bd,OPPE results,operational readiness evaluation results,navy,compliance,,2026-02-15 17:47:32.616746+00
0c523806-d45e-4a2c-b876-0ab3faec7f91,EOC operations,emergency operations center management,general,Operations,,2026-02-18 14:03:12.64537+00
0c73bce6-70e6-42d1-aaf8-f5156c86bfb5,force health protection,occupational health and safety program,general,medical,,2026-02-18 01:13:54.18454+00
0c7c4e3e-ccde-4054-aca8-825ca9932db6,mine countermeasures,underwater threat detection and neutralization,navy,operations,,2026-02-15 17:48:35.249974+00
0d1bdbb5-956c-47c7-8f14-13ea268f3753,participated in MEU deployment,participated in expeditionary deployment operations,usmc,operations,,2026-02-15 17:48:35.249974+00
0d742c2e-967b-4d05-967c-47f3a90ddb7b,government purchase card program,corporate purchasing card program / procurement card management,general,financial,,2026-02-18 01:13:54.18454+00
0d8e2126-8ade-4688-bc63-7485e40400ea,aircrew coordination,flight crew resource management,general,aviation,,2026-02-18 01:13:54.18454+00
0dbc87d8-3514-4a0b-881f-c453d3faca3d,maintained motor pool,maintained vehicle fleet maintenance facility,army,technical,,2026-02-15 17:48:35.249974+00
0dd454a0-77c8-440b-ac58-12402e33aa65,prepared naval messages,drafted executive communications,navy,communication,,2026-02-15 17:47:32.616746+00
0dee488a-189b-483e-8b57-94aa4bd0f941,earned Combat Infantry Badge,earned combat operations qualification badge,army,training,,2026-02-15 17:48:35.249974+00
0e0aadb4-80b1-4244-a38f-f40c66ac522a,supported MAGTF operations,supported multi-element combined operations,usmc,operations,,2026-02-15 17:48:35.249974+00
0e1e0b7f-7e44-4870-8559-12b87355296a,DC drill,damage control emergency drill,navy,Safety,,2026-02-18 14:03:12.64537+00
0ee3e7b8-ec40-4791-875d-1386d1c8e9ba,exemplary conduct,exemplary professional conduct,general,performance,,2026-02-15 17:48:35.249974+00
0f50aff4-ea76-494d-82fa-ee15359ec6d4,maintained good order and discipline,upheld professional standards and workplace conduct,general,Leadership,,2026-02-18 14:03:12.64537+00
0fb31ff5-4b68-46cf-a32e-dcaf7612cb23,transformed the organization,led organizational change and restructuring,general,Leadership,,2026-02-18 14:03:12.64537+00
0fc319a9-e228-41b5-96a8-4600e691b34e,contingency operations,emergency response operations,general,Operations,,2026-02-18 14:03:12.64537+00
0fd7c089-449c-4b0c-a2f0-a78091099918,bench stock,commonly used parts kept at the work center,general,Equipment,,2026-02-18 14:03:12.64537+00
0fdb743b-d692-46b3-9d35-30a7fc4e5dd7,sea duty,operational assignment,navy,Operations,,2026-02-18 14:03:12.64537+00
0fe2a455-fd76-4886-b072-cee2324f40b8,route clearance,road safety inspection / route survey operations,general,engineering,,2026-02-18 01:13:54.18454+00
0feaedda-2760-49ee-b78e-4494f7e42d4e,command duty officer,senior on-call manager,general,Leadership,,2026-02-18 14:03:12.64537+00
0ff4f4e7-46ec-4af4-ac16-ad19d5672197,qualified as CDO,certified as after-hours senior facility manager,navy,operations,,2026-02-15 17:47:32.616746+00
106ac7d2-2506-4f56-8468-7bafe96209d2,combat zone,high-risk operational environment,general,operations,,2026-02-15 17:47:32.616746+00
10b78a55-3e6c-4b7a-8c30-70046a077ec4,main body,primary workforce,general,Operations,,2026-02-18 14:03:12.64537+00
11bb30b6-3a03-4ea1-8ead-89e529b2b1a0,risk mitigation,risk mitigation,general,safety,,2026-02-15 17:47:32.616746+00
11d811b7-d075-497f-b2fe-0a1c6b592681,communications watch,network monitoring shift / communications monitoring duty,general,comms,,2026-02-18 01:13:54.18454+00
11ec77c7-d1ae-4690-b274-1d013406f2e8,developed subordinates,coached and developed direct reports,general,Leadership,,2026-02-18 14:03:12.64537+00
12129393-789b-4523-9610-adc060bbf955,in port,at home station,navy,Operations,,2026-02-18 14:03:12.64537+00
122f0e50-e01d-4a23-9771-5b990c8a75f7,PRT,physical readiness test or fitness assessment,navy,Medical,,2026-02-18 14:03:12.64537+00
12355fe1-ee89-4584-8185-ded2740cbdd5,turned around,reversed declining performance,general,Performance,,2026-02-18 14:03:12.64537+00
12b4b4ee-bfa8-452f-b476-d6f8a3755c23,decision brief,presentation requiring leadership decision,general,Communication,,2026-02-18 14:03:12.64537+00
1370478e-2152-4dd9-8971-be68382007e4,mass casualty drill,mass casualty incident exercise,general,training,,2026-02-15 17:47:32.616746+00
13ff3daf-5440-45d0-bcbc-354e71fc19e8,enforced standards,ensured compliance with organizational policies,general,Leadership,,2026-02-18 14:03:12.64537+00
14309e2b-ae5a-4371-9af4-e5e119289cca,FOD walkdown,foreign object debris prevention inspection,general,Safety,,2026-02-18 14:03:12.64537+00
14617cb0-0313-454f-bdfc-6e2669bba1fd,sailor of the year,employee of the year,navy,Leadership,,2026-02-18 14:03:12.64537+00
148fb0fe-f924-4314-a3af-654c8a30041e,board eligible,met all requirements for advancement,general,Training,,2026-02-18 14:03:12.64537+00
14c53a0b-6e77-4bbb-91dc-da24362361db,cold iron,complete system shutdown,navy,technical,,2026-02-15 17:47:32.616746+00
14c690ef-562c-4ceb-84be-694cc6d7d150,deployment health assessment,pre- and post-assignment medical screening,general,Medical,,2026-02-18 14:03:12.64537+00
14d6d4d6-b3cb-472e-97c1-5d5f41f4295c,served as UDM,served as unit deployment manager,usaf,operations,,2026-02-15 17:48:35.249974+00
157c8081-dd9b-48a4-8ff3-23739af6008d,underway,during operations,navy,Operations,,2026-02-18 14:03:12.64537+00
15865ba7-3f89-4d55-8b14-2a7f7536e9b5,NCOER,noncommissioned officer performance evaluation,army,Admin,,2026-02-18 14:03:12.64537+00
15ca2604-17e1-4145-91e8-e8ffb4742089,advance party,advance planning team,general,Operations,,2026-02-18 14:03:12.64537+00
160552b0-b176-4fbb-bf7d-982bf84087d0,suspense date,deadline for completion,general,Communication,,2026-02-18 14:03:12.64537+00
160ea0ff-ef3c-4037-9755-1827f87c1003,boots on ground,on-site presence,general,operations,,2026-02-15 17:47:32.616746+00
1665e889-9e57-4985-96a6-635f6bfd1e13,anti-terrorism,threat prevention and force protection,general,security,,2026-02-15 17:47:32.616746+00
167685c8-9d22-4bac-b669-b96bcceca083,Class VII supplies,major end items and capital equipment,general,Equipment,,2026-02-18 14:03:12.64537+00
1693f8b1-ff61-4725-b294-00d193405cee,AIT graduate,completed advanced individual training program,army,Training,,2026-02-18 14:03:12.64537+00
16a627cc-282a-41c4-81e2-ade2c3c9d05a,on hand,currently in stock,general,Equipment,,2026-02-18 14:03:12.64537+00
17967055-7869-44b5-83f7-c40d4f613510,earned Combat Action Ribbon,earned combat operations recognition,usmc,performance,,2026-02-15 17:48:35.249974+00
17c617ae-294d-4556-bb73-31ceb49f062d,drafted OPORD,developed operational execution plan,general,communication,,2026-02-15 17:47:32.616746+00
17ff2d7f-5604-4d8d-81e7-668a4bb30223,word from on high,direction from senior leadership,general,Communication,,2026-02-18 14:03:12.64537+00
18260497-7e6f-440a-8d67-8bb05973a28d,selected as Senior Sailor of the Year,selected as senior employee of the year,navy,performance,,2026-02-15 17:48:35.249974+00
18777463-5020-4b62-a9c2-84a9c7d7a694,white paper,detailed research and recommendation document,general,Communication,,2026-02-18 14:03:12.64537+00
18bd48e9-cf59-4220-8abf-87004f3443af,wrote evaluations for,authored performance reviews for,general,admin,,2026-02-15 17:47:32.616746+00
18bfee57-ba70-4acc-9cb4-1ef951a34954,coalition operations,multinational partnership operations,general,Operations,,2026-02-18 14:03:12.64537+00
18efee4f-3dc5-4203-b078-791de3c3d5ba,rules of engagement,operating guidelines / standard engagement protocols,general,legal,,2026-02-18 01:13:54.18454+00
1924d933-0d48-4ca6-b076-ec3bb048d46e,processed 4187s,processed personnel action requests,army,admin,,2026-02-15 17:48:35.249974+00
193cfaee-0686-49ac-a164-933371548557,flight scheduling,aircraft scheduling / operations planning,general,aviation,,2026-02-18 01:13:54.18454+00
19ce4fb6-dcb0-4af8-bdfd-e42373fd3b5d,PSD,personnel support detachment or HR office,navy,Admin,,2026-02-18 14:03:12.64537+00
19fcb870-9748-495d-8b94-5e9346986f5d,deployment cycle,operational rotation,general,Operations,,2026-02-18 14:03:12.64537+00
1a47b65c-2ed0-4298-bc8a-d358c6f1de08,mishap investigation,incident investigation and root cause analysis,general,Safety,,2026-02-18 14:03:12.64537+00
1adfb942-671c-4f06-bf1f-8397b59d6f00,conducted proficiency training,delivered skills-based professional development,general,training,,2026-02-18 01:13:54.18454+00
1ae62924-06f7-4b73-bcbf-2565453443d6,cleared the path,eliminated roadblocks for the team,general,Leadership,,2026-02-18 14:03:12.64537+00
1b1df2e1-644b-47a3-a1b5-4ad5121e2bb2,permanent change of station,permanent relocation / corporate transfer,general,admin,,2026-02-18 01:13:54.18454+00
1b32c66d-d206-4ed9-a1e4-47f7d9355a3c,combat stress,work-related stress and mental health concern,general,Medical,,2026-02-18 14:03:12.64537+00
1b903350-8a9d-47c1-8777-96d28e4ba605,FEP,fitness enhancement program,navy,Medical,,2026-02-18 14:03:12.64537+00
1b96b033-1a9e-40d0-ad99-899b03674912,recall roster,emergency contact notification list,general,Operations,,2026-02-18 14:03:12.64537+00
1bc1a6af-a0b4-47b4-aed8-1735f2f4cb4d,DEFCON,defense readiness condition,general,Operations,,2026-02-18 14:03:12.64537+00
1bdca38e-0ef0-46f9-91ec-74e17775d10d,scored 300 on APFT,achieved maximum score on physical fitness assessment,army,performance,,2026-02-15 17:48:35.249974+00
1c1fc16e-d879-4dbc-bc93-4899e34ffd1a,horizontal construction,road and runway construction / earthwork operations,general,engineering,,2026-02-18 01:13:54.18454+00
1c214c21-9399-465a-a13e-322422f3e38c,trained to standard,trained to meet all certification requirements,general,training,,2026-02-18 01:13:54.18454+00
1c2a0538-84e3-4345-b2ba-1ba99eb03033,trained and ready to deploy,fully onboarded and prepared for assignment,general,Leadership,,2026-02-18 14:03:12.64537+00
1c4bc39e-4772-48d9-a204-f1269e682a86,completed ALS,completed initial leadership development course,usaf,training,,2026-02-15 17:48:35.249974+00
1c571df1-ca67-4b88-b2da-dd27f3bf783a,completed PMS on schedule,completed all scheduled preventive maintenance on time,navy,technical,,2026-02-15 17:48:35.249974+00
1c679641-ece2-44ab-ba55-ec2ac34acde0,DRMO,surplus property disposal,general,Equipment,,2026-02-18 14:03:12.64537+00
1ce22216-4e75-484e-a064-0a71c8168830,turnover,transition of responsibilities,general,Operations,,2026-02-18 14:03:12.64537+00
1d125973-3bd2-4417-8490-fa2ed6be2716,investigations officer,internal investigations manager / compliance investigator,general,legal,,2026-02-18 01:13:54.18454+00
1d8eb42b-be31-4501-a9e8-b11ac4f92b3f,selected as Junior Sailor of the Year,selected as junior employee of the year,navy,performance,,2026-02-15 17:48:35.249974+00
1da0cb81-ab1b-4fb0-9a94-55630dbab356,earned Combat Action Badge,earned combat operations qualification badge,army,training,,2026-02-15 17:48:35.249974+00
1dcbf6f4-bd41-46e6-81f6-5209e5dfadfa,conducted PMCS,performed preventive maintenance checks and services,army,technical,,2026-02-15 17:48:35.249974+00
1de38099-9df2-4afd-8222-7dee0de8f492,attended ALC,completed mid-level supervisor leadership course,army,training,,2026-02-15 17:48:35.249974+00
1de410e3-a077-4e0c-a419-d616d79a427b,CO2 system,carbon dioxide fire suppression system,navy,technical,,2026-02-15 17:48:35.249974+00
1e4d659d-f720-42b9-8279-e85de5325b78,maintained Zone Inspection readiness,maintained ongoing facility inspection readiness,navy,compliance,,2026-02-15 17:48:35.249974+00
1e5b3078-0ccb-48d0-9e33-6f629414ff2d,razor sharp,highly precise and detail-oriented,general,Performance,,2026-02-18 14:03:12.64537+00
1e6095e1-6acb-427f-b66b-c352e356e757,ran drills,conducted emergency preparedness exercises,general,training,,2026-02-15 17:47:32.616746+00
1eaa753d-2ef4-45b0-87b7-877874e695e2,quarters,unit formation or team meeting,general,Admin,,2026-02-18 14:03:12.64537+00
1ebb0d52-f1a2-4d87-aaf8-d1d49abe7331,freedom of navigation,international maritime patrol operations,navy,operations,,2026-02-15 17:48:35.249974+00
1f1d42f4-eb1d-4a9d-9b6a-a82d175409b0,OJT complete,completed on-the-job training,general,Training,,2026-02-18 14:03:12.64537+00
1fa24313-5c4d-4fc8-90b2-ad55eb54ccd8,peacekeeping operations,stability and support operations,general,Operations,,2026-02-18 14:03:12.64537+00
201568d2-7b64-4630-b7ce-e53dbecc3129,championed the cause,advocated for the initiative,general,Leadership,,2026-02-18 14:03:12.64537+00
20464187-1e63-453b-917e-fd5f39e78a0a,shore duty,headquarters or support assignment,navy,Operations,,2026-02-18 14:03:12.64537+00
2051c352-732f-4721-b328-4dbd17909fb2,turn-in,returned equipment to supply,general,Equipment,,2026-02-18 14:03:12.64537+00
20d8e132-33ad-4b94-9580-4842895f6f6d,received flag letter,received written recognition from executive leadership,general,admin,,2026-02-15 17:48:35.249974+00
