military_phrase,civilian_phrase,branch,category,context_notes
PMCS,preventive maintenance checks and services,army,equipment,
COSAL allowance,authorized equipment and parts list,navy,equipment,
controlled inventory item,high-value item requiring special tracking,general,equipment,
bench stock,commonly used parts kept at the work center,general,equipment,
PRT,physical readiness test or fitness assessment,navy,medical,
deployment health assessment,pre- and post-assignment medical screening,general,medical,
Class VII supplies,major end items and capital equipment,general,equipment,
on hand,currently in stock,general,equipment,
combat stress,work-related stress and mental health concern,general,medical,
FEP,fitness enhancement program,navy,medical,
DRMO,surplus property disposal,general,equipment,
turn-in,returned equipment to supply,general,equipment,
open purchase,commercial off-the-shelf procurement,general,equipment,
PMS,planned maintenance system,navy,equipment,
master fitness trainer,certified physical fitness program leader,army,medical,
ACFT,army combat fitness test,army,medical,
sick call,walk-in medical appointment,general,medical,
medical hold,held at current assignment pending medical evaluation,general,medical,
on order,ordered and pending delivery,general,equipment,
cannibalize,sourced parts from another unit or system,general,equipment,
shelf life item,item with expiration-based inventory management,general,equipment,
APFT,physical fitness test,army,medical,
purchase request,procurement authorization form,general,equipment,
LIMDU,limited duty status due to medical condition,navy,medical,
MRC,maintenance requirement card or procedure,navy,equipment,
draw,issued equipment from supply,general,equipment,
Class II supplies,clothing and individual equipment,general,equipment,
PMC,partially mission capable or limited capability,general,equipment,
inventory reconciliation,physical count verification against records,general,equipment,
NIIN,national item identification number,general,equipment,
NSN,national stock number for cataloged items,general,equipment,
GPC,government purchase card or corporate procurement card,general,equipment,
CIAL,component identification and authorization list,navy,equipment,
end item,final assembled product or system,general,equipment,
SARP,substance abuse rehabilitation program,general,medical,
intermediate-level maintenance,repair performed at regional maintenance center,general,equipment,
med down,unavailable for duty due to medical reason,general,medical,
RFI,ready for issue or fully serviceable,general,equipment,
survey,formal process for writing off damaged or lost equipment,general,equipment,
PT standards,physical fitness standards,general,medical,
pre-expend,pre-staged supplies for immediate use,general,equipment,
cross-deck,transferred equipment between units,navy,equipment,
equipment readiness rate,equipment availability percentage,general,equipment,
Class IV supplies,construction materials,general,equipment,
requisition,purchase order or supply request,general,equipment,
command fitness leader,unit physical fitness program coordinator,navy,medical,
Class III supplies,fuel and lubricants,general,equipment,
TM,technical manual or equipment documentation,army,equipment,
OPTAR,operating target or department budget allocation,navy,equipment,
property book,organizational property accountability record,army,equipment,
SIQ,on bed rest per medical order,navy,medical,
profile,medical work restriction documentation,army,medical,
Class VIII supplies,medical supplies and equipment,general,equipment,
PHA,periodic health assessment,general,medical,
dental readiness,dental health compliance status,general,medical,
FMC,fully mission capable or fully operational,general,equipment,
