id,industry,role_type,keywords,weight,created_at
,Healthcare,Registered Nurse,"[""Patient Care"",""Triage"",""EMR"",""Epic"",""Vital Signs"",""IV Therapy"",""Medication Administration"",""Patient Assessment"",""Care Planning"",""HIPAA"",""BLS"",""ACLS"",""Patient Education"",""Clinical Documentation"",""Infection Control""]",critical,
,Manufacturing,EHS Manager,"[""Environmental Health Safety"",""OSHA"",""EPA"",""Risk Assessment"",""Incident Investigation"",""Safety Training"",""Compliance"",""Audit"",""Emergency Response"",""Industrial Hygiene"",""Workers Compensation"",""Behavior-Based Safety"",""Sustainability"",""ISO 14001"",""Hazardous Materials""]",important,
,Consulting,IT Consultant,"[""IT Strategy"",""Digital Transformation"",""Systems Integration"",""Enterprise Architecture"",""Cloud Migration""]",critical,
,Non-Profit,Program Manager (Non-Profit),"[""Staff Supervision"",""Volunteer Management"",""Community Partnerships"",""Capacity Building""]",medium,
,Technology,Solutions Architect,"[""Architecture"",""Cloud"",""AWS"",""Azure"",""GCP"",""Microservices"",""API"",""Integration"",""Scalability"",""High Availability"",""Load Balancing"",""CDN"",""Security"",""DevOps"",""Documentation""]",critical,
,Non-Profit,Program Manager (Non-Profit),"[""Strategic Planning"",""Board Relations"",""Advocacy"",""Policy Development""]",low,
,Marketing/Communications,SEO Specialist,"[""Content Optimization"",""Site Architecture"",""Page Speed"",""Mobile Optimization"",""Core Web Vitals""]",medium,
,Consulting,Strategy Consultant,"[""Executive Communication"",""Board Presentations"",""Stakeholder Alignment"",""Implementation Planning""]",medium,
,Technology,IT Support,"[""Office 365"",""Azure AD"",""VPN"",""Remote Desktop"",""Ticketing Systems"",""Imaging"",""Deployment""]",high,
,Energy,Solar Installer,"[""Solar Installation"",""Photovoltaic"",""Racking"",""Inverter"",""Wiring"",""NEC"",""Permitting"",""Roof Mount"",""Ground Mount"",""Battery Storage"",""Net Metering"",""OSHA"",""Safety"",""Blueprint Reading"",""Commissioning""]",critical,
,Government/Federal,Contract Specialist,"[""Small Business Programs"",""Past Performance Evaluation"",""Market Research"",""Sole Source""]",medium,
,Finance/Banking,Accountant,"[""GAAP"",""Financial Reporting"",""General Ledger"",""Accounts Payable"",""Accounts Receivable"",""Journal Entries"",""Reconciliation""]",critical,
,Energy/Utilities,Nuclear Engineer,"[""Quality Assurance"",""Configuration Management"",""10 CFR"",""Technical Specifications""]",medium,
,Nonprofit,Case Manager,"[""Case Management"",""Client Assessment"",""Service Planning"",""Referrals"",""Documentation"",""Crisis Intervention"",""Advocacy"",""Follow-up"",""Community Resources"",""Collaboration"",""HIPAA"",""Cultural Competency"",""Goal Setting"",""Outcomes"",""Caseload""]",critical,
,Retail/Hospitality,Store Manager,"[""KPIs"",""Conversion Rate"",""Average Transaction"",""Customer Retention"",""Loyalty Programs""]",medium,
,Healthcare,Physician Assistant,"[""Clinical Research"",""Quality Metrics"",""Peer Review"",""Continuing Medical Education""]",low,
,Defense,Configuration Manager,"[""Configuration Management"",""CM Plan"",""Baseline"",""Change Control"",""ECR"",""ECP"",""Documentation"",""Audit"",""Status Accounting"",""Version Control"",""CMII"",""MIL-STD"",""Technical Data"",""Drawing Control"",""Release Management""]",critical,
,Technology,Technical Writer,"[""Video Tutorials"",""Knowledge Base"",""Release Notes"",""Training Materials""]",critical,
,Energy/Utilities,Power Plant Operator,"[""Lockout/Tagout"",""Safety"",""Emergency Procedures"",""Environmental Compliance""]",medium,
,Finance/Banking,Accountant,"[""Tax Preparation"",""Payroll"",""Fixed Assets"",""Depreciation"",""Accruals"",""Intercompany""]",medium,
,Logistics,Warehouse Manager,"[""Warehouse Management"",""WMS"",""Inventory Control"",""Receiving"",""Shipping"",""Pick and Pack"",""OSHA"",""Forklift"",""RF Scanning"",""Cycle Counting"",""Labor Management"",""SOP"",""Quality Control"",""Safety"",""5S""]",critical,
