military_phrase,civilian_phrase,branch,category,context_notes
served as repair locker leader,served as emergency response team leader,navy,operations,
briefed flag officers,presented to C-suite executives,navy,communication,
received Joint Service Achievement Medal,received joint organization achievement award,general,admin,
brief down,communicate to the team,general,communication,
took the helm,assumed executive leadership,navy,leadership,
hand-selected for,competitively selected for,general,leadership,
intelligence fusion,multi-source data integration and analysis,general,intel,
medical treatment facility,healthcare facility / clinic,general,medical,
shaping operations,preparatory activities / preliminary operations,general,operations,
HAZMAT locker,hazardous materials storage facility,general,safety,
corrective action,performance improvement action,general,admin,
perfect score,achieved maximum score,general,performance,
delivered on time and on target,completed all deliverables on schedule and within scope,general,performance,
corrective action report,corrective and preventive action documentation,general,safety,
information brief,informational presentation with no decision required,general,communication,
safety officer,safety compliance manager,general,safety,
PMCS,preventive maintenance checks and services,army,equipment,
signals intelligence,electronic data collection and analysis,general,intel,
troop leading procedures,team planning and execution methodology,general,leadership,
radio operator,communications specialist / radio technician,general,comms,
promote immediately,strongest recommendation for accelerated advancement,general,performance,
right-hand man,primary deputy,general,leadership,
counterintelligence,security threat mitigation / insider threat prevention,general,intel,
courts-martial proceedings,formal legal proceedings / adjudication,general,legal,
disaster relief operations,natural disaster emergency response operations,general,operations,
served as NCOIC,served as section noncommissioned officer in charge,usaf,leadership,
casualty report,critical equipment failure report,navy,technical,
offensive cyber operations,penetration testing / red team operations,general,cyber,
COSAL allowance,authorized equipment and parts list,navy,equipment,
controlled inventory item,high-value item requiring special tracking,general,equipment,
acquisition management,procurement management / purchasing oversight,general,financial,
earned SNCO of the Quarter,selected as senior manager of the quarter,usaf,performance,
saved man-hours,reduced labor hours,general,performance,
broke down barriers,removed organizational obstacles,general,leadership,
execute order,authorization to proceed,general,operations,
SCBA qualified,self-contained breathing apparatus certified,navy,training,
served as flight chief,served as section supervisor for 20-50 personnel,usaf,leadership,
master training specialist,certified master-level instructor,navy,training,
earned NCO of the Quarter,selected as supervisor of the quarter,usaf,performance,
OPPE results,operational readiness evaluation results,navy,compliance,
EOC operations,emergency operations center management,general,operations,
force health protection,occupational health and safety program,general,medical,
mine countermeasures,underwater threat detection and neutralization,navy,operations,
participated in MEU deployment,participated in expeditionary deployment operations,usmc,operations,
government purchase card program,corporate purchasing card program / procurement card management,general,financial,
aircrew coordination,flight crew resource management,general,aviation,
maintained motor pool,maintained vehicle fleet maintenance facility,army,technical,
prepared naval messages,drafted executive communications,navy,communication,
earned Combat Infantry Badge,earned combat operations qualification badge,army,training,
supported MAGTF operations,supported multi-element combined operations,usmc,operations,
DC drill,damage control emergency drill,navy,safety,
exemplary conduct,exemplary professional conduct,general,performance,
maintained good order and discipline,upheld professional standards and workplace conduct,general,leadership,
transformed the organization,led organizational change and restructuring,general,leadership,
contingency operations,emergency response operations,general,operations,
bench stock,commonly used parts kept at the work center,general,equipment,
sea duty,operational assignment,navy,operations,
route clearance,road safety inspection / route survey operations,general,engineering,
command duty officer,senior on-call manager,general,leadership,
qualified as CDO,certified as after-hours senior facility manager,navy,operations,
combat zone,high-risk operational environment,general,operations,
main body,primary workforce,general,operations,
risk mitigation,risk mitigation,general,safety,
communications watch,network monitoring shift / communications monitoring duty,general,comms,
developed subordinates,coached and developed direct reports,general,leadership,
in port,at home station,navy,operations,
PRT,physical readiness test or fitness assessment,navy,medical,
turned around,reversed declining performance,general,performance,
decision brief,presentation requiring leadership decision,general,communication,
mass casualty drill,mass casualty incident exercise,general,training,
enforced standards,ensured compliance with organizational policies,general,leadership,
FOD walkdown,foreign object debris prevention inspection,general,safety,
sailor of the year,employee of the year,navy,leadership,
board eligible,met all requirements for advancement,general,training,
cold iron,complete system shutdown,navy,technical,
deployment health assessment,pre- and post-assignment medical screening,general,medical,
served as UDM,served as unit deployment manager,usaf,operations,
underway,during operations,navy,operations,
NCOER,noncommissioned officer performance evaluation,army,admin,
advance party,advance planning team,general,operations,
suspense date,deadline for completion,general,communication,
boots on ground,on-site presence,general,operations,
anti-terrorism,threat prevention and force protection,general,security,
Class VII supplies,major end items and capital equipment,general,equipment,
AIT graduate,completed advanced individual training program,army,training,
on hand,currently in stock,general,equipment,
earned Combat Action Ribbon,earned combat operations recognition,usmc,performance,
drafted OPORD,developed operational execution plan,general,communication,
word from on high,direction from senior leadership,general,communication,
selected as Senior Sailor of the Year,selected as senior employee of the year,navy,performance,
white paper,detailed research and recommendation document,general,communication,
wrote evaluations for,authored performance reviews for,general,admin,
coalition operations,multinational partnership operations,general,operations,
rules of engagement,operating guidelines / standard engagement protocols,general,legal,
processed 4187s,processed personnel action requests,army,admin,
flight scheduling,aircraft scheduling / operations planning,general,aviation,
PSD,personnel support detachment or HR office,navy,admin,
deployment cycle,operational rotation,general,operations,
mishap investigation,incident investigation and root cause analysis,general,safety,
conducted proficiency training,delivered skills-based professional development,general,training,
cleared the path,eliminated roadblocks for the team,general,leadership,
permanent change of station,permanent relocation / corporate transfer,general,admin,
combat stress,work-related stress and mental health concern,general,medical,
FEP,fitness enhancement program,navy,medical,
recall roster,emergency contact notification list,general,operations,
DEFCON,defense readiness condition,general,operations,
scored 300 on APFT,achieved maximum score on physical fitness assessment,army,performance,
horizontal construction,road and runway construction / earthwork operations,general,engineering,
trained to standard,trained to meet all certification requirements,general,training,
trained and ready to deploy,fully onboarded and prepared for assignment,general,leadership,
completed ALS,completed initial leadership development course,usaf,training,
completed PMS on schedule,completed all scheduled preventive maintenance on time,navy,technical,
DRMO,surplus property disposal,general,equipment,
turnover,transition of responsibilities,general,operations,
investigations officer,internal investigations manager / compliance investigator,general,legal,
selected as Junior Sailor of the Year,selected as junior employee of the year,navy,performance,
earned Combat Action Badge,earned combat operations qualification badge,army,training,
conducted PMCS,performed preventive maintenance checks and services,army,technical,
attended ALC,completed mid-level supervisor leadership course,army,training,
CO2 system,carbon dioxide fire suppression system,navy,technical,
maintained Zone Inspection readiness,maintained ongoing facility inspection readiness,navy,compliance,
razor sharp,highly precise and detail-oriented,general,performance,
ran drills,conducted emergency preparedness exercises,general,training,
quarters,unit formation or team meeting,general,admin,
freedom of navigation,international maritime patrol operations,navy,operations,
OJT complete,completed on-the-job training,general,training,
peacekeeping operations,stability and support operations,general,operations,
championed the cause,advocated for the initiative,general,leadership,
shore duty,headquarters or support assignment,navy,operations,
turn-in,returned equipment to supply,general,equipment,
received flag letter,received written recognition from executive leadership,general,admin,
administered PQS,administered professional qualification program,navy,training,
owned the battlespace,managed all operations within the assigned area,general,leadership,
OCONUS,outside the continental United States,general,operations,
records management,document management / records retention,general,admin,
served as SAPR VA,served as sexual assault prevention and response victim advocate,navy,admin,
voting assistance officer,employee civic engagement coordinator,general,admin,
can-do attitude,"positive, results-oriented approach",general,performance,
empowered junior leaders,empowered emerging leaders through delegation,general,leadership,
improved readiness,improved operational availability,general,performance,
class A mishap,severity level 1 incident with major loss,general,safety,
performs at the next higher paygrade,performs at the next organizational level,general,performance,
shipmate of the quarter,employee of the quarter,navy,leadership,
inspired warfighters,motivated team members to achieve objectives,general,leadership,
exceeded the standard,surpassed performance benchmarks,general,performance,
quad chart,four-quadrant visual summary,general,communication,
theater of operations,regional area of business operations,general,operations,
open purchase,commercial off-the-shelf procurement,general,equipment,
SPOTREP,spot report or incident notification,general,communication,
war college graduate,completed executive leadership program,general,training,
unlimited potential,demonstrates exceptional growth potential,general,performance,
force beddown,temporary facility setup / rapid site establishment,general,engineering,
served as team leader,served as front-line team supervisor,army,leadership,
operation and maintenance funds,operating budget / O&M budget,general,financial,
equal opportunity advisor,equal employment opportunity specialist,general,admin,
battle tested,proven in high-pressure environments,general,performance,
zone inspection,facility/area compliance inspection,navy,compliance,
forward deployed,stationed in operational area,general,operations,
24/7 operations,around-the-clock operations / continuous coverage,general,operations,
top of the class,ranked first among peers,general,performance,
training cycle,professional development schedule / learning cycle,general,training,
zero loss rate,achieved zero inventory loss,general,performance,
page 13 counseling,documented performance counseling session,navy,admin,
operational readiness rate,equipment availability rate / uptime percentage,general,performance,
negative,no or not confirmed,general,communication,
took the helm,assumed leadership of / took charge of,general,leadership,
PMS,planned maintenance system,navy,equipment,
demobilized from,returned from deployment/activation,general,operations,
plugman,structural damage containment specialist,navy,operations,
master fitness trainer,certified physical fitness program leader,army,medical,
barrier plan,perimeter security design / access control plan,general,engineering,
met every milestone,achieved all project milestones on schedule,general,performance,
ACFT,army combat fitness test,army,medical,
sick call,walk-in medical appointment,general,medical,
selection board,promotion review panel / selection committee,general,training,
combat training center rotation,intensive field training exercise / major training event,general,training,
sponsor,onboarding coordinator for incoming employees,general,admin,
answered the call,responded to critical organizational need,general,leadership,
achieved mission success,successfully completed all objectives,general,performance,
earned 7-level,achieved craftsman-level technical certification,usaf,training,
remedial training,corrective performance coaching,general,training,
served in hostile fire zone,served in hazardous duty environment,general,operations,
nailed the inspection,achieved outstanding inspection results,general,performance,
received Bronze Star Medal,received senior-level achievement/service award,general,admin,
area of responsibility,assigned territory / managed region,general,operations,
in-rate training,specialty-specific professional development,navy,training,
aviation safety program,flight safety management system,general,aviation,
mission capable rate,operational availability rate,general,compliance,
open door policy,accessible leadership communication policy,general,communication,
geospatial intelligence,geographic information systems analysis / location-based analytics,general,intel,
top block evaluation,highest possible performance rating,general,performance,
managed departmental 3M program,managed department-level preventive maintenance program,navy,technical,
TAP/TAPS,transition assistance program,general,admin,
combat leadership,leadership under high-pressure conditions,general,leadership,
assumed the watch,took over shift operations,navy,operations,
served as EKMS manager,served as electronic key/encryption material manager,navy,security,
ahead of schedule,completed before the deadline,general,performance,
area denial operations,restricted access zone management,general,operations,
achieved first class PFT,achieved top-tier physical fitness rating,usmc,performance,
force multiplier,high-impact contributor / productivity amplifier,general,performance,
qualified ahead of peers,achieved certification ahead of timeline,general,training,
received unit citation,received organizational excellence award,general,admin,
demolition operations,controlled demolition / structural demolition,general,engineering,
pipeline,training program,general,training,
participated in CPO 365,participated in year-long leadership development program,navy,training,
mentored up-and-comers,mentored high-potential employees,general,leadership,
exceeded all metrics,surpassed all key performance indicators,general,performance,
tactical communications,field communications / mobile communications systems,general,comms,
hot seat qualified,certified for primary operator role,general,training,
deckplate leadership,hands-on operational leadership,navy,leadership,
managed a section of,managed a team of,general,leadership,
awarded Navy Commendation Medal,received superior performance award,navy,admin,
an exceptional communicator,an exceptional communicator at all organizational levels,general,performance,
mishap,workplace incident,general,safety,
battle handover,operational shift transition brief,general,operations,
secured the plant,performed controlled system shutdown,navy,technical,
served as battalion commander,served as division/regional director,army,leadership,
held accountable,maintained team accountability for results,general,leadership,
served as ISSM,served as information system security manager,navy,security,
safety walkthrough,safety compliance inspection,general,safety,
preventive medicine,preventive health services / occupational health,general,medical,
on the mark,met all specified targets and standards,general,performance,
non-judicial punishment,administrative disciplinary action,general,legal,
safety stand-down,organization-wide safety review day,general,safety,
meritorious mast,formal recognition ceremony,navy,admin,
served as department head,served as senior department director,navy,leadership,
reported directly to,reported directly to,general,leadership,
wrote NCOERs,authored employee performance evaluations,army,admin,
kept the division on track,maintained department alignment with goals,general,leadership,
awarded Air Force Commendation Medal,received superior performance award,usaf,admin,
soldier of the month,employee of the month,army,leadership,
medical hold,held at current assignment pending medical evaluation,general,medical,
served as UFPM,served as unit fitness program manager,usaf,admin,
three-section duty,three-shift rotation schedule,navy,operations,
zero disciplinary issues,maintained clean disciplinary record,general,performance,
target development,priority identification / target market analysis,general,intel,
combat medic,emergency medical technician / field paramedic,general,medical,
