id,military_term,civilian_equivalent,context,category,example_military,example_civilian,created_at,job_family
,personnel,staff / employees / HR,general,Term,,,,operations
,reorder point,minimum stock trigger / replenishment threshold,logistics,Logistics,,,,logistics
,MASINT,measurement and signatures intelligence / technical data collection,intelligence,Intelligence,,,,intelligence
,COLA,cost of living allowance / location-based pay supplement,financial,Financial,,,,finance
,billet,authorized position / funded role,personnel,Personnel,,,,operations
,GPC,government purchase card / corporate credit card,logistics,Acquisition,,,,operations
,passdown,shift handover / status briefing,general,Term,,,,operations
,fragmentary order,change order / updated directive,general,Term,,,,operations
,fire team leader,small team lead,general,leadership,,,,leadership
,labor hour,hourly billing arrangement,logistics,Acquisition,,,,operations
,report,arrive / check in / start,general,Term,,,,operations
,J&A,justification and approval / sole-source rationale document,logistics,Acquisition,,,,operations
,SMSgt (Senior Master Sergeant),Senior Manager,usaf,Rank,,,,operations
,tactical vehicles,fleet vehicles / field vehicles,general,Equipment,,,,operations
,backstop,verification support for cover identity,intelligence,Intelligence,,,,intelligence
,contingency,emergency response / backup plan,general,Term,,,,operations
,option year,contract renewal period,logistics,Acquisition,,,,operations
,embarked,deployed / traveling for work,general,Term,,,,operations
,division officer,department manager,general,Term,,,,operations
,PO1 (Petty Officer First Class),Supervisor / Senior Team Lead,navy,Rank,,,,operations
,gripe,maintenance discrepancy / deficiency report,aviation,Aviation,,,,operations
,squared away,organized / well-prepared / professional,general,Term,,,,operations
,joint duty,inter-agency assignment,general,Term,,,,operations
,sick bay,medical clinic / health services,general,Term,,,,operations
,leave,paid time off / vacation,general,Term,,,,operations
,UA,unauthorized absence / no-call no-show,general,Acronym,,,,operations
,operational,active / functioning / deployed,general,Term,,,,operations
,MWR,"Morale, Welfare and Recreation / employee services",general,Acronym,,,,operations
,tour of duty,assignment length / contract period,general,Term,,,,operations
,legend,cover story / assumed identity background,intelligence,Intelligence,,,,intelligence
,LTC (Lieutenant Colonel),Senior Director,army,Rank,,,,operations
,UNODIR,unless otherwise directed,general,Acronym,,,,operations
,military bearing,professional demeanor / composure,general,Term,,,,operations
,SATCOM,satellite communications,general,Equipment,,,,operations
,LES,leave and earnings statement / pay stub,financial,Financial,,,,finance
